
987, 1, 
987, 900@DX!teta: 1, 15, 15, vtx:, 10, 90, 
sigma: , 9, 
[], 
------------------------------, 
****************************************, 
-100, -0.002942, of, 807, records,   speed:, -2.9e-05, 
-95, -0.002479, of, 110, records,   speed:, -2.6e-05, 
-90, -0.002925, of, 103, records,   speed:, -3.3e-05, 
-85, -0.002484, of, 154, records,   speed:, -2.9e-05, 
-80, -0.002887, of, 172, records,   speed:, -3.6e-05, 
-75, -0.002559, of, 230, records,   speed:, -3.4e-05, 
-70, -0.002091, of, 247, records,   speed:, -3e-05, 
-65, -0.001271, of, 275, records,   speed:, -2e-05, 
-60, -0.000688, of, 226, records,   speed:, -1.1e-05, 
-55, -0.000781, of, 273, records,   speed:, -1.4e-05, 
-50, -0.000211, of, 402, records,   speed:, -4e-06, 
-45, -0.001351, of, 451, records,   speed:, -3e-05, 
-40, -0.002, of, 503, records,   speed:, -5e-05, 
-35, -0.001078, of, 609, records,   speed:, -3.1e-05, 
-30, -0.000616, of, 676, records,   speed:, -2.1e-05, 
-25, -0.000582, of, 631, records,   speed:, -2.3e-05, 
-20, -0.000672, of, 635, records,   speed:, -3.4e-05, 
-15, -0.000554, of, 585, records,   speed:, -3.7e-05, 
-10, -0.00023, of, 638, records,   speed:, -2.3e-05, 
-5, 0.000288, of, 102, records,   speed:, 5.8e-05, 
5, 0.000206, of, 619, records,   speed:, 4.1e-05, 
10, 0.000337, of, 487, records,   speed:, 3.4e-05, 
15, 0.000463, of, 567, records,   speed:, 3.1e-05, 
20, 0.000397, of, 590, records,   speed:, 2e-05, 
25, 0.001116, of, 501, records,   speed:, 4.5e-05, 
30, 0.000539, of, 488, records,   speed:, 1.8e-05, 
35, 0.000501, of, 513, records,   speed:, 1.4e-05, 
40, 0.00101, of, 472, records,   speed:, 2.5e-05, 
45, 0.000994, of, 412, records,   speed:, 2.2e-05, 
50, 0.000625, of, 425, records,   speed:, 1.3e-05, 
55, 0.000436, of, 420, records,   speed:, 8e-06, 
60, 0.000544, of, 363, records,   speed:, 9e-06, 
65, 0.001381, of, 262, records,   speed:, 2.1e-05, 
70, 0.002118, of, 228, records,   speed:, 3e-05, 
75, 0.002547, of, 176, records,   speed:, 3.4e-05, 
80, 0.001576, of, 208, records,   speed:, 2e-05, 
85, 0.002311, of, 182, records,   speed:, 2.7e-05, 
90, 0.003795, of, 122, records,   speed:, 4.2e-05, 
95, 0.003386, of, 93, records,   speed:, 3.6e-05, 
100, 0.003421, of, 256, records,   speed:, 3.4e-05, 
-100, 0.004482, of, 807, records,   speed:, 4.5e-05, 
