0 10
0.0 1.0 1084
1.5 2.2 151
2.2 3.3 105
3.3 5.0 129
5.0 7.5 267
7.5 11.3 122
11.3 17.0 67
17.0 25.6 183
25.6 38.4 153
38.4 57.6 153
57.6 86.4 224
86.4 129.7 97
129.7 194.6 44
194.6 291.9 44
291.9 437.8 73
437.8 656.8 106
656.8 985.2 49
985.2 1477.8 17
1477.8 2216.8 35
2216.8 3325.2 18
3325.2 4987.8 33
4987.8 7481.8 7
7481.8 11222.7 0
11222.7 16834.1 0
10 20
0.0 1.0 822
1.5 2.2 294
2.2 3.3 266
3.3 5.0 173
5.0 7.5 241
7.5 11.3 700
11.3 17.0 344
17.0 25.6 424
25.6 38.4 406
38.4 57.6 670
57.6 86.4 398
86.4 129.7 162
129.7 194.6 310
194.6 291.9 134
291.9 437.8 0
437.8 656.8 0
656.8 985.2 43
985.2 1477.8 0
1477.8 2216.8 0
2216.8 3325.2 0
3325.2 4987.8 0
4987.8 7481.8 0
7481.8 11222.7 0
11222.7 16834.1 0
20 30
0.0 1.0 1539
1.5 2.2 113
2.2 3.3 243
3.3 5.0 104
5.0 7.5 441
7.5 11.3 287
11.3 17.0 203
17.0 25.6 78
25.6 38.4 208
38.4 57.6 250
57.6 86.4 372
86.4 129.7 275
129.7 194.6 125
194.6 291.9 198
291.9 437.8 224
437.8 656.8 178
656.8 985.2 35
985.2 1477.8 24
1477.8 2216.8 29
2216.8 3325.2 0
3325.2 4987.8 0
4987.8 7481.8 60
7481.8 11222.7 0
11222.7 16834.1 0
30 40
0.0 1.0 1486
1.5 2.2 249
2.2 3.3 0
3.3 5.0 125
5.0 7.5 0
7.5 11.3 43
11.3 17.0 52
17.0 25.6 1
25.6 38.4 212
38.4 57.6 1
57.6 86.4 0
86.4 129.7 0
129.7 194.6 127
194.6 291.9 105
291.9 437.8 101
437.8 656.8 64
656.8 985.2 59
985.2 1477.8 0
1477.8 2216.8 60
2216.8 3325.2 0
3325.2 4987.8 0
4987.8 7481.8 0
7481.8 11222.7 0
11222.7 16834.1 0
40 50
0.0 1.0 2224
1.5 2.2 353
2.2 3.3 0
3.3 5.0 1
5.0 7.5 118
7.5 11.3 534
11.3 17.0 304
17.0 25.6 141
25.6 38.4 446
38.4 57.6 332
57.6 86.4 474
86.4 129.7 155
129.7 194.6 87
194.6 291.9 112
291.9 437.8 171
437.8 656.8 164
656.8 985.2 0
985.2 1477.8 82
1477.8 2216.8 0
2216.8 3325.2 0
3325.2 4987.8 0
4987.8 7481.8 0
7481.8 11222.7 0
11222.7 16834.1 0
50 60
0.0 1.0 1100
1.5 2.2 425
2.2 3.3 167
3.3 5.0 0
5.0 7.5 127
7.5 11.3 0
11.3 17.0 63
17.0 25.6 0
25.6 38.4 147
38.4 57.6 139
57.6 86.4 78
86.4 129.7 0
129.7 194.6 0
194.6 291.9 54
291.9 437.8 0
437.8 656.8 0
656.8 985.2 0
985.2 1477.8 0
1477.8 2216.8 0
2216.8 3325.2 0
3325.2 4987.8 0
4987.8 7481.8 0
7481.8 11222.7 0
11222.7 16834.1 0
60 70
0.0 1.0 1536
1.5 2.2 1843
2.2 3.3 2925
3.3 5.0 915
5.0 7.5 618
7.5 11.3 309
11.3 17.0 246
17.0 25.6 100
25.6 38.4 265
38.4 57.6 1
57.6 86.4 149
86.4 129.7 160
129.7 194.6 0
194.6 291.9 68
291.9 437.8 179
437.8 656.8 101
656.8 985.2 126
985.2 1477.8 0
1477.8 2216.8 0
2216.8 3325.2 0
3325.2 4987.8 0
4987.8 7481.8 0
7481.8 11222.7 0
11222.7 16834.1 0
70 80
0.0 1.0 1159
1.5 2.2 355
2.2 3.3 207
3.3 5.0 457
5.0 7.5 150
7.5 11.3 106
11.3 17.0 183
17.0 25.6 400
25.6 38.4 295
38.4 57.6 746
57.6 86.4 278
86.4 129.7 0
129.7 194.6 106
194.6 291.9 0
291.9 437.8 0
437.8 656.8 1
656.8 985.2 102
985.2 1477.8 0
1477.8 2216.8 0
2216.8 3325.2 0
3325.2 4987.8 0
4987.8 7481.8 0
7481.8 11222.7 0
11222.7 16834.1 0
80 90
0.0 1.0 536
1.5 2.2 134
2.2 3.3 0
3.3 5.0 51
5.0 7.5 30
7.5 11.3 145
11.3 17.0 220
17.0 25.6 0
25.6 38.4 0
38.4 57.6 280
57.6 86.4 54
86.4 129.7 62
129.7 194.6 0
194.6 291.9 105
291.9 437.8 55
437.8 656.8 0
656.8 985.2 30
985.2 1477.8 0
1477.8 2216.8 0
2216.8 3325.2 0
3325.2 4987.8 0
4987.8 7481.8 0
7481.8 11222.7 0
11222.7 16834.1 0
90 100
0.0 1.0 476
1.5 2.2 70
2.2 3.3 289
3.3 5.0 56
5.0 7.5 201
7.5 11.3 49
11.3 17.0 95
17.0 25.6 39
25.6 38.4 77
38.4 57.6 41
57.6 86.4 112
86.4 129.7 146
129.7 194.6 45
194.6 291.9 56
291.9 437.8 64
437.8 656.8 59
656.8 985.2 94
985.2 1477.8 23
1477.8 2216.8 0
2216.8 3325.2 0
3325.2 4987.8 0
4987.8 7481.8 0
7481.8 11222.7 0
11222.7 16834.1 0
100 110
0.0 1.0 1053
1.5 2.2 176
2.2 3.3 457
3.3 5.0 168
5.0 7.5 226
7.5 11.3 308
11.3 17.0 301
17.0 25.6 123
25.6 38.4 311
38.4 57.6 855
57.6 86.4 534
86.4 129.7 191
129.7 194.6 161
194.6 291.9 24
291.9 437.8 113
437.8 656.8 40
656.8 985.2 129
985.2 1477.8 2
1477.8 2216.8 58
2216.8 3325.2 9
3325.2 4987.8 0
4987.8 7481.8 0
7481.8 11222.7 0
11222.7 16834.1 0
110 120
0.0 1.0 2249
1.5 2.2 450
2.2 3.3 70
3.3 5.0 57
5.0 7.5 65
7.5 11.3 248
11.3 17.0 313
17.0 25.6 183
25.6 38.4 189
38.4 57.6 614
57.6 86.4 190
86.4 129.7 218
129.7 194.6 55
194.6 291.9 264
291.9 437.8 187
437.8 656.8 119
656.8 985.2 65
985.2 1477.8 0
1477.8 2216.8 0
2216.8 3325.2 0
3325.2 4987.8 0
4987.8 7481.8 0
7481.8 11222.7 0
11222.7 16834.1 0
120 130
0.0 1.0 1953
1.5 2.2 161
2.2 3.3 113
3.3 5.0 119
5.0 7.5 0
7.5 11.3 0
11.3 17.0 174
17.0 25.6 60
25.6 38.4 176
38.4 57.6 58
57.6 86.4 353
86.4 129.7 0
129.7 194.6 0
194.6 291.9 73
291.9 437.8 181
437.8 656.8 0
656.8 985.2 0
985.2 1477.8 0
1477.8 2216.8 74
2216.8 3325.2 69
3325.2 4987.8 0
4987.8 7481.8 0
7481.8 11222.7 0
11222.7 16834.1 0
130 140
0.0 1.0 1089
1.5 2.2 37
2.2 3.3 170
3.3 5.0 245
5.0 7.5 167
7.5 11.3 217
11.3 17.0 126
17.0 25.6 23
25.6 38.4 24
38.4 57.6 105
57.6 86.4 91
86.4 129.7 101
129.7 194.6 0
194.6 291.9 64
291.9 437.8 71
437.8 656.8 0
656.8 985.2 0
985.2 1477.8 0
1477.8 2216.8 0
2216.8 3325.2 0
3325.2 4987.8 0
4987.8 7481.8 0
7481.8 11222.7 0
11222.7 16834.1 0
140 150
0.0 1.0 2857
1.5 2.2 207
2.2 3.3 88
3.3 5.0 124
5.0 7.5 262
7.5 11.3 0
11.3 17.0 171
17.0 25.6 88
25.6 38.4 186
38.4 57.6 181
57.6 86.4 689
86.4 129.7 413
129.7 194.6 222
194.6 291.9 192
291.9 437.8 138
437.8 656.8 61
656.8 985.2 78
985.2 1477.8 49
1477.8 2216.8 0
2216.8 3325.2 24
3325.2 4987.8 0
4987.8 7481.8 0
7481.8 11222.7 0
11222.7 16834.1 0
150 160
0.0 1.0 3266
1.5 2.2 203
2.2 3.3 198
3.3 5.0 0
5.0 7.5 97
7.5 11.3 285
11.3 17.0 100
17.0 25.6 94
25.6 38.4 98
38.4 57.6 0
57.6 86.4 496
86.4 129.7 188
129.7 194.6 97
194.6 291.9 187
291.9 437.8 3
437.8 656.8 0
656.8 985.2 0
985.2 1477.8 90
1477.8 2216.8 0
2216.8 3325.2 0
3325.2 4987.8 0
4987.8 7481.8 0
7481.8 11222.7 0
11222.7 16834.1 0
160 170
0.0 1.0 1092
1.5 2.2 257
2.2 3.3 144
3.3 5.0 198
5.0 7.5 0
7.5 11.3 0
11.3 17.0 89
17.0 25.6 0
25.6 38.4 78
38.4 57.6 0
57.6 86.4 240
86.4 129.7 141
129.7 194.6 0
194.6 291.9 0
291.9 437.8 0
437.8 656.8 0
656.8 985.2 0
985.2 1477.8 0
1477.8 2216.8 66
2216.8 3325.2 0
3325.2 4987.8 0
4987.8 7481.8 0
7481.8 11222.7 0
11222.7 16834.1 0
170 180
0.0 1.0 1895
1.5 2.2 82
2.2 3.3 113
3.3 5.0 70
5.0 7.5 370
7.5 11.3 0
11.3 17.0 150
17.0 25.6 100
25.6 38.4 1
38.4 57.6 69
57.6 86.4 122
86.4 129.7 122
129.7 194.6 187
194.6 291.9 48
291.9 437.8 54
437.8 656.8 3
656.8 985.2 77
985.2 1477.8 66
1477.8 2216.8 0
2216.8 3325.2 0
3325.2 4987.8 0
4987.8 7481.8 0
7481.8 11222.7 0
11222.7 16834.1 0
180 190
0.0 1.0 1159
1.5 2.2 540
2.2 3.3 2
3.3 5.0 149
5.0 7.5 0
7.5 11.3 44
11.3 17.0 109
17.0 25.6 229
25.6 38.4 46
38.4 57.6 580
57.6 86.4 130
86.4 129.7 85
129.7 194.6 195
194.6 291.9 0
291.9 437.8 0
437.8 656.8 0
656.8 985.2 50
985.2 1477.8 0
1477.8 2216.8 0
2216.8 3325.2 0
3325.2 4987.8 0
4987.8 7481.8 0
7481.8 11222.7 0
11222.7 16834.1 0
190 200
0.0 1.0 2289
1.5 2.2 671
2.2 3.3 74
3.3 5.0 153
5.0 7.5 390
7.5 11.3 286
11.3 17.0 628
17.0 25.6 202
25.6 38.4 268
38.4 57.6 728
57.6 86.4 549
86.4 129.7 90
129.7 194.6 138
194.6 291.9 138
291.9 437.8 77
437.8 656.8 0
656.8 985.2 0
985.2 1477.8 0
1477.8 2216.8 0
2216.8 3325.2 0
3325.2 4987.8 0
4987.8 7481.8 0
7481.8 11222.7 0
11222.7 16834.1 0
200 210
0.0 1.0 2778
1.5 2.2 766
2.2 3.3 0
3.3 5.0 226
5.0 7.5 217
7.5 11.3 573
11.3 17.0 107
17.0 25.6 228
25.6 38.4 213
38.4 57.6 115
57.6 86.4 214
86.4 129.7 0
129.7 194.6 117
194.6 291.9 0
291.9 437.8 0
437.8 656.8 0
656.8 985.2 0
985.2 1477.8 0
1477.8 2216.8 0
2216.8 3325.2 0
3325.2 4987.8 0
4987.8 7481.8 0
7481.8 11222.7 0
11222.7 16834.1 0
210 220
0.0 1.0 2241
1.5 2.2 81
2.2 3.3 82
3.3 5.0 0
5.0 7.5 170
7.5 11.3 81
11.3 17.0 96
17.0 25.6 0
25.6 38.4 78
38.4 57.6 187
57.6 86.4 97
86.4 129.7 167
129.7 194.6 78
194.6 291.9 78
291.9 437.8 0
437.8 656.8 0
656.8 985.2 0
985.2 1477.8 0
1477.8 2216.8 0
2216.8 3325.2 0
3325.2 4987.8 0
4987.8 7481.8 0
7481.8 11222.7 0
11222.7 16834.1 0
220 230
0.0 1.0 1293
1.5 2.2 411
2.2 3.3 97
3.3 5.0 61
5.0 7.5 1
7.5 11.3 0
11.3 17.0 424
17.0 25.6 101
25.6 38.4 233
38.4 57.6 980
57.6 86.4 0
86.4 129.7 0
129.7 194.6 0
194.6 291.9 0
291.9 437.8 134
437.8 656.8 0
656.8 985.2 0
985.2 1477.8 0
1477.8 2216.8 0
2216.8 3325.2 0
3325.2 4987.8 0
4987.8 7481.8 0
7481.8 11222.7 0
11222.7 16834.1 0
230 240
0.0 1.0 631
1.5 2.2 0
2.2 3.3 52
3.3 5.0 73
5.0 7.5 52
7.5 11.3 0
11.3 17.0 47
17.0 25.6 0
25.6 38.4 93
38.4 57.6 1064
57.6 86.4 113
86.4 129.7 101
129.7 194.6 63
194.6 291.9 0
291.9 437.8 19
437.8 656.8 17
656.8 985.2 0
985.2 1477.8 90
1477.8 2216.8 67
2216.8 3325.2 0
3325.2 4987.8 0
4987.8 7481.8 0
7481.8 11222.7 0
11222.7 16834.1 0
240 250
0.0 1.0 1664
1.5 2.2 99
2.2 3.3 106
3.3 5.0 164
5.0 7.5 90
7.5 11.3 99
11.3 17.0 109
17.0 25.6 39
25.6 38.4 184
38.4 57.6 82
57.6 86.4 0
86.4 129.7 0
129.7 194.6 0
194.6 291.9 0
291.9 437.8 0
437.8 656.8 0
656.8 985.2 0
985.2 1477.8 0
1477.8 2216.8 0
2216.8 3325.2 0
3325.2 4987.8 0
4987.8 7481.8 0
7481.8 11222.7 0
11222.7 16834.1 0
250 260
0.0 1.0 1182
1.5 2.2 9
2.2 3.3 180
3.3 5.0 96
5.0 7.5 15
7.5 11.3 7
11.3 17.0 255
17.0 25.6 0
25.6 38.4 196
38.4 57.6 164
57.6 86.4 0
86.4 129.7 37
129.7 194.6 131
194.6 291.9 0
291.9 437.8 143
437.8 656.8 0
656.8 985.2 0
985.2 1477.8 0
1477.8 2216.8 0
2216.8 3325.2 0
3325.2 4987.8 0
4987.8 7481.8 0
7481.8 11222.7 0
11222.7 16834.1 0
260 270
0.0 1.0 1746
1.5 2.2 0
2.2 3.3 90
3.3 5.0 263
5.0 7.5 64
7.5 11.3 0
11.3 17.0 106
17.0 25.6 96
25.6 38.4 0
38.4 57.6 70
57.6 86.4 2
86.4 129.7 288
129.7 194.6 233
194.6 291.9 0
291.9 437.8 67
437.8 656.8 0
656.8 985.2 0
985.2 1477.8 0
1477.8 2216.8 0
2216.8 3325.2 0
3325.2 4987.8 0
4987.8 7481.8 0
7481.8 11222.7 0
11222.7 16834.1 0
270 280
0.0 1.0 3945
1.5 2.2 87
2.2 3.3 257
3.3 5.0 5
5.0 7.5 8
7.5 11.3 2
11.3 17.0 271
17.0 25.6 0
25.6 38.4 178
38.4 57.6 702
57.6 86.4 476
86.4 129.7 325
129.7 194.6 113
194.6 291.9 261
291.9 437.8 251
437.8 656.8 0
656.8 985.2 0
985.2 1477.8 0
1477.8 2216.8 0
2216.8 3325.2 0
3325.2 4987.8 0
4987.8 7481.8 0
7481.8 11222.7 0
11222.7 16834.1 0
280 290
0.0 1.0 4905
1.5 2.2 375
2.2 3.3 191
3.3 5.0 321
5.0 7.5 164
7.5 11.3 173
11.3 17.0 176
17.0 25.6 161
25.6 38.4 343
38.4 57.6 311
57.6 86.4 0
86.4 129.7 0
129.7 194.6 0
194.6 291.9 0
291.9 437.8 154
437.8 656.8 0
656.8 985.2 0
985.2 1477.8 0
1477.8 2216.8 0
2216.8 3325.2 0
3325.2 4987.8 0
4987.8 7481.8 0
7481.8 11222.7 0
11222.7 16834.1 0
290 300
0.0 1.0 1375
1.5 2.2 0
2.2 3.3 0
3.3 5.0 0
5.0 7.5 0
7.5 11.3 0
11.3 17.0 0
17.0 25.6 0
25.6 38.4 0
38.4 57.6 0
57.6 86.4 0
86.4 129.7 0
129.7 194.6 0
194.6 291.9 0
291.9 437.8 0
437.8 656.8 0
656.8 985.2 0
985.2 1477.8 0
1477.8 2216.8 0
2216.8 3325.2 0
3325.2 4987.8 0
4987.8 7481.8 0
7481.8 11222.7 0
11222.7 16834.1 0
300 310
0.0 1.0 2232
1.5 2.2 63
2.2 3.3 109
3.3 5.0 108
5.0 7.5 109
7.5 11.3 94
11.3 17.0 391
17.0 25.6 138
25.6 38.4 315
38.4 57.6 1174
57.6 86.4 0
86.4 129.7 0
129.7 194.6 109
194.6 291.9 85
291.9 437.8 0
437.8 656.8 70
656.8 985.2 0
985.2 1477.8 107
1477.8 2216.8 0
2216.8 3325.2 0
3325.2 4987.8 0
4987.8 7481.8 0
7481.8 11222.7 0
11222.7 16834.1 0
310 320
0.0 1.0 383
1.5 2.2 0
2.2 3.3 0
3.3 5.0 30
5.0 7.5 50
7.5 11.3 0
11.3 17.0 0
17.0 25.6 0
25.6 38.4 181
38.4 57.6 297
57.6 86.4 30
86.4 129.7 0
129.7 194.6 37
194.6 291.9 0
291.9 437.8 0
437.8 656.8 34
656.8 985.2 34
985.2 1477.8 0
1477.8 2216.8 0
2216.8 3325.2 0
3325.2 4987.8 0
4987.8 7481.8 0
7481.8 11222.7 0
11222.7 16834.1 0
320 330
0.0 1.0 1754
1.5 2.2 196
2.2 3.3 332
3.3 5.0 142
5.0 7.5 2040
7.5 11.3 2
11.3 17.0 103
17.0 25.6 0
25.6 38.4 163
38.4 57.6 0
57.6 86.4 0
86.4 129.7 0
129.7 194.6 0
194.6 291.9 81
291.9 437.8 63
437.8 656.8 0
656.8 985.2 5
985.2 1477.8 0
1477.8 2216.8 0
2216.8 3325.2 0
3325.2 4987.8 67
4987.8 7481.8 0
7481.8 11222.7 0
11222.7 16834.1 0
330 340
0.0 1.0 1933
1.5 2.2 1
2.2 3.3 0
3.3 5.0 178
5.0 7.5 163
7.5 11.3 175
11.3 17.0 0
17.0 25.6 284
25.6 38.4 43
38.4 57.6 173
57.6 86.4 184
86.4 129.7 0
129.7 194.6 118
194.6 291.9 19
291.9 437.8 156
437.8 656.8 0
656.8 985.2 0
985.2 1477.8 0
1477.8 2216.8 0
2216.8 3325.2 0
3325.2 4987.8 0
4987.8 7481.8 0
7481.8 11222.7 0
11222.7 16834.1 0
340 350
0.0 1.0 1365
1.5 2.2 254
2.2 3.3 0
3.3 5.0 130
5.0 7.5 155
7.5 11.3 0
11.3 17.0 0
17.0 25.6 0
25.6 38.4 0
38.4 57.6 125
57.6 86.4 0
86.4 129.7 0
129.7 194.6 0
194.6 291.9 0
291.9 437.8 0
437.8 656.8 0
656.8 985.2 143
985.2 1477.8 0
1477.8 2216.8 0
2216.8 3325.2 0
3325.2 4987.8 0
4987.8 7481.8 0
7481.8 11222.7 0
11222.7 16834.1 0
350 360
0.0 1.0 1457
1.5 2.2 201
2.2 3.3 107
3.3 5.0 220
5.0 7.5 0
7.5 11.3 0
11.3 17.0 128
17.0 25.6 0
25.6 38.4 107
38.4 57.6 125
57.6 86.4 0
86.4 129.7 0
129.7 194.6 0
194.6 291.9 0
291.9 437.8 0
437.8 656.8 0
656.8 985.2 0
985.2 1477.8 0
1477.8 2216.8 0
2216.8 3325.2 0
3325.2 4987.8 0
4987.8 7481.8 0
7481.8 11222.7 0
11222.7 16834.1 0
360 370
0.0 1.0 1948
1.5 2.2 551
2.2 3.3 500
3.3 5.0 159
5.0 7.5 0
7.5 11.3 2
11.3 17.0 56
17.0 25.6 0
25.6 38.4 144
38.4 57.6 208
57.6 86.4 0
86.4 129.7 163
129.7 194.6 251
194.6 291.9 0
291.9 437.8 0
437.8 656.8 0
656.8 985.2 0
985.2 1477.8 0
1477.8 2216.8 0
2216.8 3325.2 0
3325.2 4987.8 0
4987.8 7481.8 0
7481.8 11222.7 0
11222.7 16834.1 0
370 380
0.0 1.0 4852
1.5 2.2 467
2.2 3.3 85
3.3 5.0 192
5.0 7.5 0
7.5 11.3 0
11.3 17.0 271
17.0 25.6 89
25.6 38.4 230
38.4 57.6 265
57.6 86.4 100
86.4 129.7 150
129.7 194.6 0
194.6 291.9 240
291.9 437.8 0
437.8 656.8 10
656.8 985.2 6
985.2 1477.8 244
1477.8 2216.8 0
2216.8 3325.2 0
3325.2 4987.8 0
4987.8 7481.8 0
7481.8 11222.7 0
11222.7 16834.1 0
380 390
0.0 1.0 3004
1.5 2.2 831
2.2 3.3 458
3.3 5.0 337
5.0 7.5 317
7.5 11.3 418
11.3 17.0 320
17.0 25.6 0
25.6 38.4 172
38.4 57.6 275
57.6 86.4 0
86.4 129.7 217
129.7 194.6 0
194.6 291.9 0
291.9 437.8 0
437.8 656.8 0
