0 10
0.0 1.0 561
1.5 2.2 65
2.2 3.3 29
3.3 5.0 61
5.0 7.5 66
7.5 11.3 0
11.3 17.0 24
17.0 25.6 120
25.6 38.4 76
38.4 57.6 42
57.6 86.4 106
86.4 129.7 54
129.7 194.6 27
194.6 291.9 27
291.9 437.8 73
437.8 656.8 80
656.8 985.2 49
985.2 1477.8 17
1477.8 2216.8 35
2216.8 3325.2 10
3325.2 4987.8 33
4987.8 7481.8 7
7481.8 11222.7 0
11222.7 16834.1 0
10 20
0.0 1.0 527
1.5 2.2 0
2.2 3.3 80
3.3 5.0 0
5.0 7.5 0
7.5 11.3 102
11.3 17.0 168
17.0 25.6 40
25.6 38.4 127
38.4 57.6 44
57.6 86.4 166
86.4 129.7 0
129.7 194.6 91
194.6 291.9 92
291.9 437.8 0
437.8 656.8 0
656.8 985.2 0
985.2 1477.8 0
1477.8 2216.8 0
2216.8 3325.2 0
3325.2 4987.8 0
4987.8 7481.8 0
7481.8 11222.7 0
11222.7 16834.1 0
20 30
0.0 1.0 1008
1.5 2.2 97
2.2 3.3 26
3.3 5.0 65
5.0 7.5 242
7.5 11.3 132
11.3 17.0 48
17.0 25.6 78
25.6 38.4 51
38.4 57.6 169
57.6 86.4 366
86.4 129.7 97
129.7 194.6 65
194.6 291.9 81
291.9 437.8 71
437.8 656.8 11
656.8 985.2 18
985.2 1477.8 0
1477.8 2216.8 0
2216.8 3325.2 0
3325.2 4987.8 0
4987.8 7481.8 0
7481.8 11222.7 0
11222.7 16834.1 0
30 40
0.0 1.0 1012
1.5 2.2 196
2.2 3.3 0
3.3 5.0 0
5.0 7.5 0
7.5 11.3 43
11.3 17.0 0
17.0 25.6 0
25.6 38.4 117
38.4 57.6 1
57.6 86.4 0
86.4 129.7 0
129.7 194.6 70
194.6 291.9 105
291.9 437.8 52
437.8 656.8 64
656.8 985.2 59
985.2 1477.8 0
1477.8 2216.8 60
2216.8 3325.2 0
3325.2 4987.8 0
4987.8 7481.8 0
7481.8 11222.7 0
11222.7 16834.1 0
40 50
0.0 1.0 1629
1.5 2.2 168
2.2 3.3 0
3.3 5.0 0
5.0 7.5 37
7.5 11.3 461
11.3 17.0 0
17.0 25.6 81
25.6 38.4 117
38.4 57.6 329
57.6 86.4 81
86.4 129.7 83
129.7 194.6 0
194.6 291.9 82
291.9 437.8 1
437.8 656.8 164
656.8 985.2 0
985.2 1477.8 82
1477.8 2216.8 0
2216.8 3325.2 0
3325.2 4987.8 0
4987.8 7481.8 0
7481.8 11222.7 0
11222.7 16834.1 0
50 60
0.0 1.0 484
1.5 2.2 50
2.2 3.3 0
3.3 5.0 0
5.0 7.5 76
7.5 11.3 0
11.3 17.0 63
17.0 25.6 0
25.6 38.4 81
38.4 57.6 64
57.6 86.4 78
86.4 129.7 0
129.7 194.6 0
194.6 291.9 54
291.9 437.8 0
437.8 656.8 0
656.8 985.2 0
985.2 1477.8 0
1477.8 2216.8 0
2216.8 3325.2 0
3325.2 4987.8 0
4987.8 7481.8 0
7481.8 11222.7 0
11222.7 16834.1 0
60 70
0.0 1.0 600
1.5 2.2 0
2.2 3.3 0
3.3 5.0 0
5.0 7.5 0
7.5 11.3 0
11.3 17.0 0
17.0 25.6 0
25.6 38.4 184
38.4 57.6 0
57.6 86.4 48
86.4 129.7 0
129.7 194.6 0
194.6 291.9 0
291.9 437.8 0
437.8 656.8 0
656.8 985.2 0
985.2 1477.8 0
1477.8 2216.8 0
2216.8 3325.2 0
3325.2 4987.8 0
4987.8 7481.8 0
7481.8 11222.7 0
11222.7 16834.1 0
70 80
0.0 1.0 513
1.5 2.2 2
2.2 3.3 0
3.3 5.0 84
5.0 7.5 0
7.5 11.3 106
11.3 17.0 0
17.0 25.6 0
25.6 38.4 102
38.4 57.6 0
57.6 86.4 89
86.4 129.7 0
129.7 194.6 0
194.6 291.9 0
291.9 437.8 0
437.8 656.8 1
656.8 985.2 102
985.2 1477.8 0
1477.8 2216.8 0
2216.8 3325.2 0
3325.2 4987.8 0
4987.8 7481.8 0
7481.8 11222.7 0
11222.7 16834.1 0
80 90
0.0 1.0 358
1.5 2.2 0
2.2 3.3 0
3.3 5.0 0
5.0 7.5 0
7.5 11.3 62
11.3 17.0 0
17.0 25.6 0
25.6 38.4 0
38.4 57.6 64
57.6 86.4 0
86.4 129.7 0
129.7 194.6 0
194.6 291.9 49
291.9 437.8 27
437.8 656.8 0
656.8 985.2 0
985.2 1477.8 0
1477.8 2216.8 0
2216.8 3325.2 0
3325.2 4987.8 0
4987.8 7481.8 0
7481.8 11222.7 0
11222.7 16834.1 0
90 100
0.0 1.0 345
1.5 2.2 11
2.2 3.3 27
3.3 5.0 10
5.0 7.5 143
7.5 11.3 27
11.3 17.0 60
17.0 25.6 30
25.6 38.4 41
38.4 57.6 19
57.6 86.4 63
86.4 129.7 84
129.7 194.6 33
194.6 291.9 8
291.9 437.8 29
437.8 656.8 0
656.8 985.2 0
985.2 1477.8 0
1477.8 2216.8 0
2216.8 3325.2 0
3325.2 4987.8 0
4987.8 7481.8 0
7481.8 11222.7 0
11222.7 16834.1 0
100 110
0.0 1.0 843
1.5 2.2 134
2.2 3.3 429
3.3 5.0 168
5.0 7.5 206
7.5 11.3 308
11.3 17.0 284
17.0 25.6 112
25.6 38.4 276
38.4 57.6 809
57.6 86.4 445
86.4 129.7 165
129.7 194.6 120
194.6 291.9 20
291.9 437.8 74
437.8 656.8 0
656.8 985.2 80
985.2 1477.8 0
1477.8 2216.8 0
2216.8 3325.2 0
3325.2 4987.8 0
4987.8 7481.8 0
7481.8 11222.7 0
11222.7 16834.1 0
110 120
0.0 1.0 2114
1.5 2.2 450
2.2 3.3 70
3.3 5.0 57
5.0 7.5 0
7.5 11.3 248
11.3 17.0 251
17.0 25.6 183
25.6 38.4 189
38.4 57.6 614
57.6 86.4 121
86.4 129.7 218
129.7 194.6 55
194.6 291.9 60
291.9 437.8 187
437.8 656.8 61
656.8 985.2 65
985.2 1477.8 0
1477.8 2216.8 0
2216.8 3325.2 0
3325.2 4987.8 0
4987.8 7481.8 0
7481.8 11222.7 0
11222.7 16834.1 0
120 130
0.0 1.0 1666
1.5 2.2 161
2.2 3.3 109
3.3 5.0 0
5.0 7.5 0
7.5 11.3 0
11.3 17.0 116
17.0 25.6 60
25.6 38.4 122
38.4 57.6 0
57.6 86.4 235
86.4 129.7 0
129.7 194.6 0
194.6 291.9 0
291.9 437.8 63
437.8 656.8 0
656.8 985.2 0
985.2 1477.8 0
1477.8 2216.8 0
2216.8 3325.2 0
3325.2 4987.8 0
4987.8 7481.8 0
7481.8 11222.7 0
11222.7 16834.1 0
130 140
0.0 1.0 919
1.5 2.2 37
2.2 3.3 114
3.3 5.0 199
5.0 7.5 151
7.5 11.3 217
11.3 17.0 126
17.0 25.6 23
25.6 38.4 24
38.4 57.6 86
57.6 86.4 91
86.4 129.7 38
129.7 194.6 0
194.6 291.9 64
291.9 437.8 71
437.8 656.8 0
656.8 985.2 0
985.2 1477.8 0
1477.8 2216.8 0
2216.8 3325.2 0
3325.2 4987.8 0
4987.8 7481.8 0
7481.8 11222.7 0
11222.7 16834.1 0
140 150
0.0 1.0 1373
1.5 2.2 88
2.2 3.3 0
3.3 5.0 101
5.0 7.5 108
7.5 11.3 0
11.3 17.0 171
17.0 25.6 0
25.6 38.4 14
38.4 57.6 83
57.6 86.4 346
86.4 129.7 89
129.7 194.6 222
194.6 291.9 82
291.9 437.8 111
437.8 656.8 5
656.8 985.2 0
985.2 1477.8 49
1477.8 2216.8 0
2216.8 3325.2 24
3325.2 4987.8 0
4987.8 7481.8 0
7481.8 11222.7 0
11222.7 16834.1 0
150 160
0.0 1.0 2793
1.5 2.2 99
2.2 3.3 97
3.3 5.0 0
5.0 7.5 0
7.5 11.3 195
11.3 17.0 100
17.0 25.6 0
25.6 38.4 98
38.4 57.6 0
57.6 86.4 102
86.4 129.7 89
129.7 194.6 0
194.6 291.9 0
291.9 437.8 3
437.8 656.8 0
656.8 985.2 0
985.2 1477.8 90
1477.8 2216.8 0
2216.8 3325.2 0
3325.2 4987.8 0
4987.8 7481.8 0
7481.8 11222.7 0
11222.7 16834.1 0
160 170
0.0 1.0 902
1.5 2.2 257
2.2 3.3 52
3.3 5.0 52
5.0 7.5 0
7.5 11.3 0
11.3 17.0 89
17.0 25.6 0
25.6 38.4 78
38.4 57.6 0
57.6 86.4 148
86.4 129.7 77
129.7 194.6 0
194.6 291.9 0
291.9 437.8 0
437.8 656.8 0
656.8 985.2 0
985.2 1477.8 0
1477.8 2216.8 0
2216.8 3325.2 0
3325.2 4987.8 0
4987.8 7481.8 0
7481.8 11222.7 0
11222.7 16834.1 0
170 180
0.0 1.0 1514
1.5 2.2 53
2.2 3.3 0
3.3 5.0 70
5.0 7.5 28
7.5 11.3 0
11.3 17.0 150
17.0 25.6 0
25.6 38.4 0
38.4 57.6 45
57.6 86.4 122
86.4 129.7 116
129.7 194.6 45
194.6 291.9 0
291.9 437.8 54
437.8 656.8 0
656.8 985.2 0
985.2 1477.8 0
1477.8 2216.8 0
2216.8 3325.2 0
3325.2 4987.8 0
4987.8 7481.8 0
7481.8 11222.7 0
11222.7 16834.1 0
180 190
0.0 1.0 992
1.5 2.2 486
2.2 3.3 2
3.3 5.0 149
5.0 7.5 0
7.5 11.3 44
11.3 17.0 109
17.0 25.6 167
25.6 38.4 46
38.4 57.6 482
57.6 86.4 130
86.4 129.7 85
129.7 194.6 151
194.6 291.9 0
291.9 437.8 0
437.8 656.8 0
656.8 985.2 50
985.2 1477.8 0
1477.8 2216.8 0
2216.8 3325.2 0
3325.2 4987.8 0
4987.8 7481.8 0
7481.8 11222.7 0
11222.7 16834.1 0
190 200
0.0 1.0 1827
1.5 2.2 671
2.2 3.3 74
3.3 5.0 153
5.0 7.5 390
7.5 11.3 286
11.3 17.0 423
17.0 25.6 200
25.6 38.4 157
38.4 57.6 658
57.6 86.4 549
86.4 129.7 90
129.7 194.6 138
194.6 291.9 138
291.9 437.8 77
437.8 656.8 0
656.8 985.2 0
985.2 1477.8 0
1477.8 2216.8 0
2216.8 3325.2 0
3325.2 4987.8 0
4987.8 7481.8 0
7481.8 11222.7 0
11222.7 16834.1 0
200 210
0.0 1.0 2346
1.5 2.2 664
2.2 3.3 0
3.3 5.0 226
5.0 7.5 217
7.5 11.3 463
11.3 17.0 107
17.0 25.6 112
25.6 38.4 213
38.4 57.6 115
57.6 86.4 108
86.4 129.7 0
129.7 194.6 117
194.6 291.9 0
291.9 437.8 0
437.8 656.8 0
656.8 985.2 0
985.2 1477.8 0
1477.8 2216.8 0
2216.8 3325.2 0
3325.2 4987.8 0
4987.8 7481.8 0
7481.8 11222.7 0
11222.7 16834.1 0
210 220
0.0 1.0 1873
1.5 2.2 81
2.2 3.3 82
3.3 5.0 0
5.0 7.5 170
7.5 11.3 0
11.3 17.0 96
17.0 25.6 0
25.6 38.4 78
38.4 57.6 187
57.6 86.4 0
86.4 129.7 166
129.7 194.6 0
194.6 291.9 0
291.9 437.8 0
437.8 656.8 0
656.8 985.2 0
985.2 1477.8 0
1477.8 2216.8 0
2216.8 3325.2 0
3325.2 4987.8 0
4987.8 7481.8 0
7481.8 11222.7 0
11222.7 16834.1 0
220 230
0.0 1.0 1090
1.5 2.2 410
2.2 3.3 97
3.3 5.0 61
5.0 7.5 0
7.5 11.3 0
11.3 17.0 329
17.0 25.6 98
25.6 38.4 45
38.4 57.6 980
57.6 86.4 0
86.4 129.7 0
129.7 194.6 0
194.6 291.9 0
291.9 437.8 134
437.8 656.8 0
656.8 985.2 0
985.2 1477.8 0
1477.8 2216.8 0
2216.8 3325.2 0
3325.2 4987.8 0
4987.8 7481.8 0
7481.8 11222.7 0
11222.7 16834.1 0
230 240
0.0 1.0 453
1.5 2.2 0
2.2 3.3 52
3.3 5.0 2
5.0 7.5 52
7.5 11.3 0
11.3 17.0 47
17.0 25.6 0
25.6 38.4 93
38.4 57.6 1064
57.6 86.4 45
86.4 129.7 101
129.7 194.6 63
194.6 291.9 0
291.9 437.8 19
437.8 656.8 17
656.8 985.2 0
985.2 1477.8 90
1477.8 2216.8 67
2216.8 3325.2 0
3325.2 4987.8 0
4987.8 7481.8 0
7481.8 11222.7 0
11222.7 16834.1 0
240 250
0.0 1.0 951
1.5 2.2 99
2.2 3.3 0
3.3 5.0 84
5.0 7.5 90
7.5 11.3 99
11.3 17.0 43
17.0 25.6 39
25.6 38.4 66
38.4 57.6 82
57.6 86.4 0
86.4 129.7 0
129.7 194.6 0
194.6 291.9 0
291.9 437.8 0
437.8 656.8 0
656.8 985.2 0
985.2 1477.8 0
1477.8 2216.8 0
2216.8 3325.2 0
3325.2 4987.8 0
4987.8 7481.8 0
7481.8 11222.7 0
11222.7 16834.1 0
250 260
0.0 1.0 845
1.5 2.2 2
2.2 3.3 33
3.3 5.0 56
5.0 7.5 0
7.5 11.3 0
11.3 17.0 50
17.0 25.6 0
25.6 38.4 39
38.4 57.6 40
57.6 86.4 0
86.4 129.7 1
129.7 194.6 60
194.6 291.9 0
291.9 437.8 0
437.8 656.8 0
656.8 985.2 0
985.2 1477.8 0
1477.8 2216.8 0
2216.8 3325.2 0
3325.2 4987.8 0
4987.8 7481.8 0
7481.8 11222.7 0
11222.7 16834.1 0
260 270
0.0 1.0 1613
1.5 2.2 0
2.2 3.3 90
3.3 5.0 263
5.0 7.5 64
7.5 11.3 0
11.3 17.0 0
17.0 25.6 0
25.6 38.4 0
38.4 57.6 64
57.6 86.4 0
86.4 129.7 272
129.7 194.6 97
194.6 291.9 0
291.9 437.8 0
437.8 656.8 0
656.8 985.2 0
985.2 1477.8 0
1477.8 2216.8 0
2216.8 3325.2 0
3325.2 4987.8 0
4987.8 7481.8 0
7481.8 11222.7 0
11222.7 16834.1 0
270 280
0.0 1.0 2739
1.5 2.2 0
2.2 3.3 257
3.3 5.0 5
5.0 7.5 8
7.5 11.3 2
11.3 17.0 271
17.0 25.6 0
25.6 38.4 11
38.4 57.6 366
57.6 86.4 476
86.4 129.7 325
129.7 194.6 0
194.6 291.9 261
291.9 437.8 251
437.8 656.8 0
656.8 985.2 0
985.2 1477.8 0
1477.8 2216.8 0
2216.8 3325.2 0
3325.2 4987.8 0
4987.8 7481.8 0
7481.8 11222.7 0
11222.7 16834.1 0
280 290
0.0 1.0 4064
1.5 2.2 0
2.2 3.3 189
3.3 5.0 167
5.0 7.5 164
7.5 11.3 173
11.3 17.0 0
17.0 25.6 161
25.6 38.4 177
38.4 57.6 311
57.6 86.4 0
86.4 129.7 0
129.7 194.6 0
194.6 291.9 0
291.9 437.8 154
437.8 656.8 0
656.8 985.2 0
985.2 1477.8 0
1477.8 2216.8 0
2216.8 3325.2 0
3325.2 4987.8 0
4987.8 7481.8 0
7481.8 11222.7 0
11222.7 16834.1 0
290 300
0.0 1.0 932
1.5 2.2 0
2.2 3.3 0
3.3 5.0 0
5.0 7.5 0
7.5 11.3 0
11.3 17.0 0
17.0 25.6 0
25.6 38.4 0
38.4 57.6 0
57.6 86.4 0
86.4 129.7 0
129.7 194.6 0
194.6 291.9 0
291.9 437.8 0
437.8 656.8 0
656.8 985.2 0
985.2 1477.8 0
1477.8 2216.8 0
2216.8 3325.2 0
3325.2 4987.8 0
4987.8 7481.8 0
7481.8 11222.7 0
11222.7 16834.1 0
300 310
0.0 1.0 1449
1.5 2.2 63
2.2 3.3 109
3.3 5.0 108
5.0 7.5 109
7.5 11.3 94
11.3 17.0 285
17.0 25.6 138
25.6 38.4 176
38.4 57.6 976
57.6 86.4 0
86.4 129.7 0
129.7 194.6 109
194.6 291.9 0
291.9 437.8 0
437.8 656.8 70
656.8 985.2 0
985.2 1477.8 107
1477.8 2216.8 0
2216.8 3325.2 0
3325.2 4987.8 0
4987.8 7481.8 0
7481.8 11222.7 0
11222.7 16834.1 0
310 320
0.0 1.0 261
1.5 2.2 0
2.2 3.3 0
3.3 5.0 30
5.0 7.5 50
7.5 11.3 0
11.3 17.0 0
17.0 25.6 0
25.6 38.4 181
38.4 57.6 297
57.6 86.4 30
86.4 129.7 0
129.7 194.6 37
194.6 291.9 0
291.9 437.8 0
437.8 656.8 1
656.8 985.2 34
985.2 1477.8 0
1477.8 2216.8 0
2216.8 3325.2 0
3325.2 4987.8 0
4987.8 7481.8 0
7481.8 11222.7 0
11222.7 16834.1 0
320 330
0.0 1.0 768
1.5 2.2 63
2.2 3.3 139
3.3 5.0 0
5.0 7.5 0
7.5 11.3 2
11.3 17.0 103
17.0 25.6 0
25.6 38.4 0
38.4 57.6 0
57.6 86.4 0
86.4 129.7 0
129.7 194.6 0
194.6 291.9 1
291.9 437.8 63
437.8 656.8 0
656.8 985.2 5
985.2 1477.8 0
1477.8 2216.8 0
2216.8 3325.2 0
3325.2 4987.8 67
4987.8 7481.8 0
7481.8 11222.7 0
11222.7 16834.1 0
330 340
0.0 1.0 1386
1.5 2.2 0
2.2 3.3 0
3.3 5.0 178
5.0 7.5 0
7.5 11.3 175
11.3 17.0 0
17.0 25.6 168
25.6 38.4 0
38.4 57.6 0
57.6 86.4 0
86.4 129.7 0
129.7 194.6 0
194.6 291.9 0
291.9 437.8 0
437.8 656.8 0
656.8 985.2 0
985.2 1477.8 0
1477.8 2216.8 0
2216.8 3325.2 0
3325.2 4987.8 0
4987.8 7481.8 0
7481.8 11222.7 0
11222.7 16834.1 0
340 350
0.0 1.0 942
1.5 2.2 254
2.2 3.3 0
3.3 5.0 0
5.0 7.5 155
7.5 11.3 0
11.3 17.0 0
17.0 25.6 0
25.6 38.4 0
38.4 57.6 0
57.6 86.4 0
86.4 129.7 0
129.7 194.6 0
194.6 291.9 0
291.9 437.8 0
437.8 656.8 0
656.8 985.2 0
985.2 1477.8 0
1477.8 2216.8 0
2216.8 3325.2 0
3325.2 4987.8 0
4987.8 7481.8 0
7481.8 11222.7 0
11222.7 16834.1 0
350 360
0.0 1.0 971
1.5 2.2 0
2.2 3.3 107
3.3 5.0 220
5.0 7.5 0
7.5 11.3 0
11.3 17.0 128
17.0 25.6 0
25.6 38.4 0
38.4 57.6 0
57.6 86.4 0
86.4 129.7 0
129.7 194.6 0
194.6 291.9 0
291.9 437.8 0
437.8 656.8 0
656.8 985.2 0
985.2 1477.8 0
1477.8 2216.8 0
2216.8 3325.2 0
3325.2 4987.8 0
4987.8 7481.8 0
7481.8 11222.7 0
11222.7 16834.1 0
360 370
0.0 1.0 1481
1.5 2.2 184
2.2 3.3 262
3.3 5.0 159
5.0 7.5 0
7.5 11.3 0
11.3 17.0 0
17.0 25.6 0
25.6 38.4 138
38.4 57.6 0
57.6 86.4 0
86.4 129.7 0
129.7 194.6 0
194.6 291.9 0
291.9 437.8 0
437.8 656.8 0
656.8 985.2 0
985.2 1477.8 0
1477.8 2216.8 0
2216.8 3325.2 0
3325.2 4987.8 0
4987.8 7481.8 0
7481.8 11222.7 0
11222.7 16834.1 0
370 380
0.0 1.0 2861
1.5 2.2 0
2.2 3.3 0
3.3 5.0 105
5.0 7.5 0
7.5 11.3 0
11.3 17.0 271
17.0 25.6 89
25.6 38.4 0
38.4 57.6 0
57.6 86.4 100
86.4 129.7 150
129.7 194.6 0
194.6 291.9 0
291.9 437.8 0
437.8 656.8 10
656.8 985.2 6
985.2 1477.8 244
1477.8 2216.8 0
2216.8 3325.2 0
3325.2 4987.8 0
4987.8 7481.8 0
7481.8 11222.7 0
11222.7 16834.1 0
380 390
0.0 1.0 1660
1.5 2.2 96
2.2 3.3 75
3.3 5.0 87
5.0 7.5 0
7.5 11.3 97
11.3 17.0 95
17.0 25.6 0
25.6 38.4 95
38.4 57.6 190
57.6 86.4 0
86.4 129.7 217
129.7 194.6 0
194.6 291.9 0
291.9 437.8 0
437.8 656.8 0
656.8 985.2 0
985.2 1477.8 0
1477.8 2216.8 0
2216.8 3325.2 0
3325.2 4987.8 0
4987.8 7481.8 0
7481.8 11222.7 0
11222.7 16834.1 0
390 400
0.0 1.0 1228
1.5 2.2 0
2.2 3.3 1
3.3 5.0 98
5.0 7.5 0
7.5 11.3 0
11.3 17.0 62
17.0 25.6 0
25.6 38.4 35
38.4 57.6 0
57.6 86.4 0
86.4 129.7 0
129.7 194.6 0
194.6 291.9 0
291.9 437.8 0
437.8 656.8 0
656.8 985.2 0
985.2 1477.8 0
1477.8 2216.8 0
2216.8 3325.2 0
3325.2 4987.8 0
4987.8 7481.8 0
7481.8 11222.7 0
11222.7 16834.1 0
400 410
0.0 1.0 1491
1.5 2.2 71
2.2 3.3 184
3.3 5.0 60
5.0 7.5 66
7.5 11.3 59
11.3 17.0 52
17.0 25.6 66
25.6 38.4 0
38.4 57.6 1
57.6 86.4 0
86.4 129.7 0
129.7 194.6 3
194.6 291.9 57
291.9 437.8 57
437.8 656.8 189
656.8 985.2 0
985.2 1477.8 0
1477.8 2216.8 0
2216.8 3325.2 0
3325.2 4987.8 0
4987.8 7481.8 0
7481.8 11222.7 0
11222.7 16834.1 0
410 420
0.0 1.0 836
1.5 2.2 24
2.2 3.3 22
3.3 5.0 40
5.0 7.5 158
7.5 11.3 44
11.3 17.0 92
17.0 25.6 26
25.6 38.4 21
38.4 57.6 0
