0 10
0.01 0.017 3
0.017 0.026 3
0.026 0.039 2
0.039 0.058 9
0.058 0.087 0
0.087 0.131 0
0.131 0.197 0
0.197 0.296 0
0.296 0.444 0
0.444 0.666 0
0.666 1.000 0
1.000 1.500 0
1.500 2.250 0
2.250 3.375 1
3.375 5.062 0
5.062 7.593 0
7.593 11.390 0
11.390 17.085 0
17.085 25.628 0
25.628 38.443 0
38.443 57.665 0
57.665 86.497 0
86.497 129.746 0
129.746 194.619 0
194.619 291.929 0
10 20
0.01 0.017 6
0.017 0.026 6
0.026 0.039 2
0.039 0.058 4
0.058 0.087 0
0.087 0.131 0
0.131 0.197 2
0.197 0.296 0
0.296 0.444 0
0.444 0.666 0
0.666 1.000 1
1.000 1.500 1
1.500 2.250 0
2.250 3.375 1
3.375 5.062 0
5.062 7.593 0
7.593 11.390 1
11.390 17.085 0
17.085 25.628 0
25.628 38.443 0
38.443 57.665 0
57.665 86.497 0
86.497 129.746 0
129.746 194.619 0
194.619 291.929 0
20 30
0.01 0.017 1
0.017 0.026 1
0.026 0.039 6
0.039 0.058 0
0.058 0.087 0
0.087 0.131 0
0.131 0.197 1
0.197 0.296 1
0.296 0.444 0
0.444 0.666 0
0.666 1.000 0
1.000 1.500 0
1.500 2.250 0
2.250 3.375 0
3.375 5.062 0
5.062 7.593 0
7.593 11.390 0
11.390 17.085 0
17.085 25.628 0
25.628 38.443 0
38.443 57.665 0
57.665 86.497 0
86.497 129.746 0
129.746 194.619 0
194.619 291.929 0
30 40
0.01 0.017 10
0.017 0.026 10
0.026 0.039 6
0.039 0.058 1
0.058 0.087 1
0.087 0.131 2
0.131 0.197 1
0.197 0.296 0
0.296 0.444 0
0.444 0.666 2
0.666 1.000 2
1.000 1.500 0
1.500 2.250 0
2.250 3.375 0
3.375 5.062 1
5.062 7.593 1
7.593 11.390 0
11.390 17.085 1
17.085 25.628 0
25.628 38.443 0
38.443 57.665 0
57.665 86.497 0
86.497 129.746 0
129.746 194.619 0
194.619 291.929 0
40 50
0.01 0.017 13
0.017 0.026 13
0.026 0.039 3
0.039 0.058 0
0.058 0.087 1
0.087 0.131 0
0.131 0.197 1
0.197 0.296 0
0.296 0.444 2
0.444 0.666 1
0.666 1.000 0
1.000 1.500 3
1.500 2.250 0
2.250 3.375 0
3.375 5.062 0
5.062 7.593 0
7.593 11.390 0
11.390 17.085 0
17.085 25.628 0
25.628 38.443 0
38.443 57.665 0
57.665 86.497 0
86.497 129.746 0
129.746 194.619 0
194.619 291.929 0
50 60
0.01 0.017 4
0.017 0.026 4
0.026 0.039 0
0.039 0.058 0
0.058 0.087 0
0.087 0.131 0
0.131 0.197 2
0.197 0.296 0
0.296 0.444 0
0.444 0.666 1
0.666 1.000 0
1.000 1.500 0
1.500 2.250 0
2.250 3.375 1
3.375 5.062 0
5.062 7.593 0
7.593 11.390 0
11.390 17.085 0
17.085 25.628 0
25.628 38.443 0
38.443 57.665 0
57.665 86.497 0
86.497 129.746 0
129.746 194.619 0
194.619 291.929 0
60 70
0.01 0.017 7
0.017 0.026 7
0.026 0.039 1
0.039 0.058 0
0.058 0.087 0
0.087 0.131 1
0.131 0.197 0
0.197 0.296 0
0.296 0.444 1
0.444 0.666 0
0.666 1.000 0
1.000 1.500 0
1.500 2.250 0
2.250 3.375 0
3.375 5.062 0
5.062 7.593 0
7.593 11.390 0
11.390 17.085 0
17.085 25.628 0
25.628 38.443 0
38.443 57.665 0
57.665 86.497 0
86.497 129.746 0
129.746 194.619 0
194.619 291.929 0
70 80
0.01 0.017 9
0.017 0.026 9
0.026 0.039 1
0.039 0.058 1
0.058 0.087 0
0.087 0.131 0
0.131 0.197 0
0.197 0.296 1
0.296 0.444 0
0.444 0.666 0
0.666 1.000 0
1.000 1.500 0
1.500 2.250 0
2.250 3.375 1
3.375 5.062 0
5.062 7.593 0
7.593 11.390 0
11.390 17.085 0
17.085 25.628 0
25.628 38.443 0
38.443 57.665 0
57.665 86.497 0
86.497 129.746 0
129.746 194.619 0
194.619 291.929 0
80 90
0.01 0.017 8
0.017 0.026 8
0.026 0.039 0
0.039 0.058 0
0.058 0.087 1
0.087 0.131 1
0.131 0.197 3
0.197 0.296 1
0.296 0.444 1
0.444 0.666 0
0.666 1.000 0
1.000 1.500 0
1.500 2.250 0
2.250 3.375 0
3.375 5.062 0
5.062 7.593 0
7.593 11.390 0
11.390 17.085 0
17.085 25.628 0
25.628 38.443 0
38.443 57.665 0
57.665 86.497 0
86.497 129.746 0
129.746 194.619 0
194.619 291.929 0
90 100
0.01 0.017 6
0.017 0.026 6
0.026 0.039 2
0.039 0.058 0
0.058 0.087 0
0.087 0.131 0
0.131 0.197 2
0.197 0.296 0
0.296 0.444 0
0.444 0.666 2
0.666 1.000 1
1.000 1.500 0
1.500 2.250 0
2.250 3.375 0
3.375 5.062 0
5.062 7.593 0
7.593 11.390 0
11.390 17.085 0
17.085 25.628 0
25.628 38.443 0
38.443 57.665 0
57.665 86.497 0
86.497 129.746 0
129.746 194.619 0
194.619 291.929 0
100 110
0.01 0.017 5
0.017 0.026 5
0.026 0.039 0
0.039 0.058 0
0.058 0.087 0
0.087 0.131 0
0.131 0.197 0
0.197 0.296 0
0.296 0.444 0
0.444 0.666 0
0.666 1.000 0
1.000 1.500 0
1.500 2.250 0
2.250 3.375 0
3.375 5.062 0
5.062 7.593 0
7.593 11.390 0
11.390 17.085 0
17.085 25.628 0
25.628 38.443 0
38.443 57.665 0
57.665 86.497 0
86.497 129.746 0
129.746 194.619 0
194.619 291.929 0
110 120
0.01 0.017 11
0.017 0.026 11
0.026 0.039 3
0.039 0.058 1
