0 10
0.01 0.0115 0
0.0115 0.0173 0
0.0173 0.0260 5
0.0260 0.0390 0
0.0390 0.0585 0
0.0585 0.0877 0
0.0877 0.1316 1
0.1316 0.1975 1
0.1975 0.2962 0
0.2962 0.4444 0
0.4444 0.6666 0
0.6666 1.0000 0
1.0000 1.5000 0
1.5000 2.2500 0
2.2500 3.3750 2
3.3750 5.0625 0
5.0625 7.5937 0
7.5937 11.3906 0
11.3906 17.0859 0
17.0859 25.6289 0
25.6289 38.4433 0
38.4433 57.6650 0
10 20
0.01 0.0115 0
0.0115 0.0173 0
0.0173 0.0260 0
0.0260 0.0390 0
0.0390 0.0585 0
0.0585 0.0877 1
0.0877 0.1316 0
0.1316 0.1975 0
0.1975 0.2962 0
0.2962 0.4444 0
0.4444 0.6666 0
0.6666 1.0000 0
1.0000 1.5000 0
1.5000 2.2500 0
2.2500 3.3750 0
3.3750 5.0625 0
5.0625 7.5937 0
7.5937 11.3906 0
11.3906 17.0859 0
17.0859 25.6289 0
25.6289 38.4433 0
38.4433 57.6650 0
20 30
0.01 0.0115 1
0.0115 0.0173 1
0.0173 0.0260 1
0.0260 0.0390 3
0.0390 0.0585 0
0.0585 0.0877 0
0.0877 0.1316 1
0.1316 0.1975 0
0.1975 0.2962 0
0.2962 0.4444 0
0.4444 0.6666 0
0.6666 1.0000 0
1.0000 1.5000 0
1.5000 2.2500 0
2.2500 3.3750 0
3.3750 5.0625 1
5.0625 7.5937 0
7.5937 11.3906 0
11.3906 17.0859 0
17.0859 25.6289 0
25.6289 38.4433 0
38.4433 57.6650 0
30 40
0.01 0.0115 0
0.0115 0.0173 0
0.0173 0.0260 5
0.0260 0.0390 7
0.0390 0.0585 0
0.0585 0.0877 0
0.0877 0.1316 1
0.1316 0.1975 0
0.1975 0.2962 0
0.2962 0.4444 0
0.4444 0.6666 0
0.6666 1.0000 0
1.0000 1.5000 0
1.5000 2.2500 0
2.2500 3.3750 0
3.3750 5.0625 0
5.0625 7.5937 0
7.5937 11.3906 0
11.3906 17.0859 0
17.0859 25.6289 0
25.6289 38.4433 0
38.4433 57.6650 0
40 50
0.01 0.0115 2
0.0115 0.0173 2
0.0173 0.0260 1
0.0260 0.0390 4
0.0390 0.0585 1
0.0585 0.0877 0
0.0877 0.1316 0
0.1316 0.1975 1
0.1975 0.2962 0
0.2962 0.4444 0
0.4444 0.6666 0
0.6666 1.0000 0
1.0000 1.5000 0
1.5000 2.2500 1
2.2500 3.3750 0
3.3750 5.0625 0
5.0625 7.5937 0
7.5937 11.3906 0
11.3906 17.0859 0
17.0859 25.6289 0
25.6289 38.4433 0
38.4433 57.6650 0
50 60
0.01 0.0115 0
0.0115 0.0173 0
0.0173 0.0260 2
0.0260 0.0390 1
0.0390 0.0585 1
0.0585 0.0877 1
0.0877 0.1316 2
0.1316 0.1975 1
0.1975 0.2962 0
0.2962 0.4444 0
0.4444 0.6666 0
0.6666 1.0000 0
1.0000 1.5000 0
1.5000 2.2500 1
2.2500 3.3750 0
3.3750 5.0625 0
5.0625 7.5937 0
7.5937 11.3906 0
11.3906 17.0859 0
17.0859 25.6289 0
25.6289 38.4433 0
38.4433 57.6650 0
60 70
0.01 0.0115 5
0.0115 0.0173 5
0.0173 0.0260 7
0.0260 0.0390 2
0.0390 0.0585 1
0.0585 0.0877 1
0.0877 0.1316 1
0.1316 0.1975 1
0.1975 0.2962 4
0.2962 0.4444 1
0.4444 0.6666 2
0.6666 1.0000 1
1.0000 1.5000 0
