0 10
0.01 0.0115 14
0.0115 0.0173 14
0.0173 0.0260 24
0.0260 0.0390 15
0.0390 0.0585 19
0.0585 0.0877 25
0.0877 0.1316 11
0.1316 0.1975 18
0.1975 0.2962 16
0.2962 0.4444 12
0.4444 0.6666 7
0.6666 1.0000 10
1.0000 1.5000 12
1.5000 2.2500 14
2.2500 3.3750 12
3.3750 5.0625 3
5.0625 7.5937 3
7.5937 11.3906 2
11.3906 17.0859 0
17.0859 25.6289 0
25.6289 38.4433 0
38.4433 57.6650 0
57.6650 86.4975 2
86.4975 129.7463 0
129.7463 194.6195 0
194.6195 291.9292 0
291.9292 437.8938 0
10 20
0.01 0.0115 14
0.0115 0.0173 14
0.0173 0.0260 20
0.0260 0.0390 15
0.0390 0.0585 40
0.0585 0.0877 27
0.0877 0.1316 34
0.1316 0.1975 29
0.1975 0.2962 32
0.2962 0.4444 28
0.4444 0.6666 31
0.6666 1.0000 21
1.0000 1.5000 12
1.5000 2.2500 7
2.2500 3.3750 5
3.3750 5.0625 5
5.0625 7.5937 3
7.5937 11.3906 2
11.3906 17.0859 0
17.0859 25.6289 0
25.6289 38.4433 0
38.4433 57.6650 0
57.6650 86.4975 0
86.4975 129.7463 0
129.7463 194.6195 1
194.6195 291.9292 0
291.9292 437.8938 0
20 30
0.01 0.0115 12
0.0115 0.0173 12
0.0173 0.0260 49
0.0260 0.0390 30
0.0390 0.0585 29
0.0585 0.0877 21
0.0877 0.1316 13
0.1316 0.1975 5
0.1975 0.2962 3
0.2962 0.4444 5
0.4444 0.6666 3
0.6666 1.0000 6
1.0000 1.5000 7
1.5000 2.2500 2
2.2500 3.3750 3
3.3750 5.0625 0
5.0625 7.5937 1
7.5937 11.3906 0
11.3906 17.0859 1
17.0859 25.6289 0
25.6289 38.4433 1
38.4433 57.6650 0
57.6650 86.4975 0
86.4975 129.7463 0
129.7463 194.6195 1
194.6195 291.9292 0
291.9292 437.8938 0
30 40
0.01 0.0115 19
0.0115 0.0173 19
0.0173 0.0260 18
0.0260 0.0390 20
0.0390 0.0585 15
0.0585 0.0877 11
0.0877 0.1316 7
0.1316 0.1975 8
0.1975 0.2962 3
0.2962 0.4444 10
0.4444 0.6666 5
0.6666 1.0000 4
1.0000 1.5000 2
1.5000 2.2500 2
2.2500 3.3750 1
3.3750 5.0625 0
5.0625 7.5937 1
7.5937 11.3906 1
11.3906 17.0859 2
17.0859 25.6289 1
25.6289 38.4433 0
38.4433 57.6650 0
57.6650 86.4975 0
86.4975 129.7463 0
129.7463 194.6195 0
194.6195 291.9292 0
291.9292 437.8938 0
40 50
0.01 0.0115 26
0.0115 0.0173 26
0.0173 0.0260 26
0.0260 0.0390 18
0.0390 0.0585 22
0.0585 0.0877 14
0.0877 0.1316 4
0.1316 0.1975 16
0.1975 0.2962 2
0.2962 0.4444 10
0.4444 0.6666 8
0.6666 1.0000 11
1.0000 1.5000 4
1.5000 2.2500 12
2.2500 3.3750 6
3.3750 5.0625 3
5.0625 7.5937 1
7.5937 11.3906 0
11.3906 17.0859 0
17.0859 25.6289 0
25.6289 38.4433 1
38.4433 57.6650 0
57.6650 86.4975 1
86.4975 129.7463 0
129.7463 194.6195 1
194.6195 291.9292 0
291.9292 437.8938 0
50 60
0.01 0.0115 28
0.0115 0.0173 28
0.0173 0.0260 16
0.0260 0.0390 18
0.0390 0.0585 23
0.0585 0.0877 7
0.0877 0.1316 11
0.1316 0.1975 12
0.1975 0.2962 6
0.2962 0.4444 6
0.4444 0.6666 7
0.6666 1.0000 14
1.0000 1.5000 6
1.5000 2.2500 3
2.2500 3.3750 5
3.3750 5.0625 1
5.0625 7.5937 4
7.5937 11.3906 0
11.3906 17.0859 1
17.0859 25.6289 1
25.6289 38.4433 0
38.4433 57.6650 0
57.6650 86.4975 0
86.4975 129.7463 0
129.7463 194.6195 0
194.6195 291.9292 0
291.9292 437.8938 0
60 70
0.01 0.0115 27
0.0115 0.0173 27
0.0173 0.0260 25
0.0260 0.0390 29
0.0390 0.0585 22
0.0585 0.0877 14
