0 10
0.01 0.011 3
0.011 0.017 3
0.017 0.026 13
0.026 0.039 9
0.039 0.058 10
0.058 0.087 11
0.087 0.131 4
0.131 0.197 10
0.197 0.296 9
0.296 0.444 9
0.444 0.666 2
0.666 1.000 7
1.000 1.500 6
1.500 2.250 7
2.250 3.375 5
3.375 5.062 0
5.062 7.593 1
7.593 11.390 0
11.390 17.085 0
17.085 25.628 0
25.628 38.443 0
38.443 57.665 0
57.665 86.497 0
86.497 129.746 0
129.746 194.619 0
194.619 291.929 0
291.929 437.893 0
10 20
0.01 0.011 8
0.011 0.017 8
0.017 0.026 9
0.026 0.039 12
0.039 0.058 20
0.058 0.087 18
0.087 0.131 18
0.131 0.197 16
0.197 0.296 12
0.296 0.444 16
0.444 0.666 15
0.666 1.000 9
1.000 1.500 7
1.500 2.250 6
2.250 3.375 1
3.375 5.062 2
5.062 7.593 2
7.593 11.390 0
11.390 17.085 0
17.085 25.628 0
25.628 38.443 0
38.443 57.665 0
57.665 86.497 0
86.497 129.746 0
129.746 194.619 1
194.619 291.929 0
291.929 437.893 0
20 30
0.01 0.011 5
0.011 0.017 5
0.017 0.026 43
0.026 0.039 20
0.039 0.058 18
0.058 0.087 18
0.087 0.131 7
0.131 0.197 7
0.197 0.296 2
0.296 0.444 3
0.444 0.666 5
0.666 1.000 5
1.000 1.500 7
1.500 2.250 4
2.250 3.375 0
3.375 5.062 1
5.062 7.593 1
7.593 11.390 0
11.390 17.085 0
17.085 25.628 0
25.628 38.443 1
38.443 57.665 0
57.665 86.497 0
86.497 129.746 0
129.746 194.619 1
194.619 291.929 0
291.929 437.893 0
30 40
0.01 0.011 10
0.011 0.017 10
0.017 0.026 13
0.026 0.039 8
0.039 0.058 12
0.058 0.087 9
0.087 0.131 2
0.131 0.197 3
0.197 0.296 3
0.296 0.444 7
0.444 0.666 3
0.666 1.000 5
1.000 1.500 2
1.500 2.250 1
2.250 3.375 1
3.375 5.062 0
5.062 7.593 1
7.593 11.390 0
11.390 17.085 2
17.085 25.628 2
25.628 38.443 0
38.443 57.665 0
57.665 86.497 0
86.497 129.746 0
129.746 194.619 0
194.619 291.929 0
291.929 437.893 0
40 50
0.01 0.011 5
0.011 0.017 5
0.017 0.026 20
0.026 0.039 13
0.039 0.058 13
0.058 0.087 5
0.087 0.131 2
0.131 0.197 11
0.197 0.296 0
0.296 0.444 7
0.444 0.666 6
0.666 1.000 8
1.000 1.500 4
1.500 2.250 9
2.250 3.375 6
3.375 5.062 2
5.062 7.593 0
7.593 11.390 0
11.390 17.085 0
17.085 25.628 0
25.628 38.443 1
38.443 57.665 0
57.665 86.497 1
86.497 129.746 0
129.746 194.619 0
194.619 291.929 0
291.929 437.893 0
50 60
0.01 0.011 10
0.011 0.017 10
0.017 0.026 6
0.026 0.039 15
0.039 0.058 12
0.058 0.087 3
0.087 0.131 5
0.131 0.197 5
0.197 0.296 4
0.296 0.444 6
0.444 0.666 2
0.666 1.000 9
1.000 1.500 4
1.500 2.250 2
2.250 3.375 3
3.375 5.062 1
5.062 7.593 3
7.593 11.390 0
11.390 17.085 0
17.085 25.628 2
25.628 38.443 0
38.443 57.665 0
57.665 86.497 0
86.497 129.746 0
129.746 194.619 0
194.619 291.929 0
291.929 437.893 0
60 70
0.01 0.011 30
0.011 0.017 30
0.017 0.026 15
0.026 0.039 11
0.039 0.058 16
0.058 0.087 8
0.087 0.131 3
0.131 0.197 12
0.197 0.296 7
0.296 0.444 9
