0 10
0.1 1.0 0
1.0 1.5 0
1.5 2.2 0
2.2 3.3 0
3.3 5.0 0
5.0 7.5 0
7.5 11.3 0
11.3 17.0 0
17.0 25.6 0
25.6 38.4 0
38.4 57.6 0
57.6 86.4 0
86.4 129.7 0
129.7 194.6 0
194.6 291.9 0
291.9 437.8 0
437.8 656.8 0
656.8 985.2 0
985.2 1477.8 0
1477.8 2216.8 0
2216.8 3325.2 0
3325.2 4987.8 0
4987.8 7481.8 0
7481.8 11222.7 0
11222.7 16834.1 0
10 20
0.1 1.0 1
1.0 1.5 1
1.5 2.2 0
2.2 3.3 0
3.3 5.0 0
5.0 7.5 0
7.5 11.3 0
11.3 17.0 0
17.0 25.6 0
25.6 38.4 0
38.4 57.6 0
57.6 86.4 0
86.4 129.7 0
129.7 194.6 0
194.6 291.9 0
291.9 437.8 0
437.8 656.8 0
656.8 985.2 0
985.2 1477.8 0
1477.8 2216.8 0
2216.8 3325.2 0
3325.2 4987.8 0
4987.8 7481.8 0
7481.8 11222.7 0
11222.7 16834.1 0
20 30
0.1 1.0 0
1.0 1.5 0
1.5 2.2 0
2.2 3.3 0
3.3 5.0 0
5.0 7.5 0
7.5 11.3 0
11.3 17.0 0
17.0 25.6 0
25.6 38.4 0
38.4 57.6 0
57.6 86.4 0
86.4 129.7 0
129.7 194.6 0
194.6 291.9 0
291.9 437.8 0
437.8 656.8 0
656.8 985.2 0
985.2 1477.8 0
1477.8 2216.8 0
2216.8 3325.2 0
3325.2 4987.8 0
4987.8 7481.8 0
7481.8 11222.7 0
11222.7 16834.1 0
30 40
0.1 1.0 0
1.0 1.5 0
1.5 2.2 0
2.2 3.3 0
3.3 5.0 0
5.0 7.5 0
7.5 11.3 0
11.3 17.0 0
17.0 25.6 0
25.6 38.4 0
38.4 57.6 0
57.6 86.4 0
86.4 129.7 0
129.7 194.6 0
194.6 291.9 0
291.9 437.8 0
437.8 656.8 0
656.8 985.2 0
985.2 1477.8 0
1477.8 2216.8 0
2216.8 3325.2 0
3325.2 4987.8 0
4987.8 7481.8 0
7481.8 11222.7 0
11222.7 16834.1 0
40 50
0.1 1.0 0
1.0 1.5 0
1.5 2.2 0
2.2 3.3 0
3.3 5.0 0
5.0 7.5 0
7.5 11.3 0
11.3 17.0 0
17.0 25.6 0
25.6 38.4 0
38.4 57.6 0
57.6 86.4 0
86.4 129.7 0
129.7 194.6 0
194.6 291.9 0
291.9 437.8 0
437.8 656.8 0
656.8 985.2 0
985.2 1477.8 0
1477.8 2216.8 0
2216.8 3325.2 0
3325.2 4987.8 0
4987.8 7481.8 0
7481.8 11222.7 0
11222.7 16834.1 0
50 60
0.1 1.0 2
1.0 1.5 2
1.5 2.2 0
2.2 3.3 0
3.3 5.0 0
5.0 7.5 0
7.5 11.3 0
11.3 17.0 0
17.0 25.6 0
25.6 38.4 0
38.4 57.6 0
57.6 86.4 0
86.4 129.7 0
129.7 194.6 0
194.6 291.9 0
291.9 437.8 0
437.8 656.8 0
656.8 985.2 0
985.2 1477.8 0
1477.8 2216.8 0
2216.8 3325.2 0
3325.2 4987.8 0
4987.8 7481.8 0
7481.8 11222.7 0
11222.7 16834.1 0
60 70
0.1 1.0 0
1.0 1.5 0
1.5 2.2 0
2.2 3.3 0
3.3 5.0 0
5.0 7.5 0
7.5 11.3 0
11.3 17.0 0
17.0 25.6 0
25.6 38.4 0
38.4 57.6 0
57.6 86.4 0
86.4 129.7 0
129.7 194.6 0
194.6 291.9 0
291.9 437.8 0
437.8 656.8 0
656.8 985.2 0
985.2 1477.8 0
1477.8 2216.8 0
2216.8 3325.2 0
3325.2 4987.8 0
4987.8 7481.8 0
7481.8 11222.7 0
11222.7 16834.1 0
70 80
0.1 1.0 1
1.0 1.5 1
1.5 2.2 1
2.2 3.3 0
3.3 5.0 0
5.0 7.5 0
7.5 11.3 0
11.3 17.0 0
17.0 25.6 0
25.6 38.4 0
38.4 57.6 0
57.6 86.4 0
86.4 129.7 0
129.7 194.6 0
194.6 291.9 0
291.9 437.8 0
437.8 656.8 0
656.8 985.2 0
985.2 1477.8 0
1477.8 2216.8 0
2216.8 3325.2 0
3325.2 4987.8 0
4987.8 7481.8 0
7481.8 11222.7 0
11222.7 16834.1 0
80 90
0.1 1.0 0
1.0 1.5 0
1.5 2.2 0
2.2 3.3 0
3.3 5.0 1
5.0 7.5 0
7.5 11.3 0
11.3 17.0 0
17.0 25.6 0
25.6 38.4 0
38.4 57.6 0
57.6 86.4 0
86.4 129.7 0
129.7 194.6 0
194.6 291.9 0
291.9 437.8 0
437.8 656.8 0
656.8 985.2 0
985.2 1477.8 0
1477.8 2216.8 0
2216.8 3325.2 0
3325.2 4987.8 0
4987.8 7481.8 0
7481.8 11222.7 0
11222.7 16834.1 0
90 100
0.1 1.0 1
1.0 1.5 1
1.5 2.2 0
2.2 3.3 0
3.3 5.0 0
5.0 7.5 0
7.5 11.3 0
11.3 17.0 0
17.0 25.6 0
25.6 38.4 0
38.4 57.6 0
57.6 86.4 0
86.4 129.7 0
129.7 194.6 0
194.6 291.9 0
291.9 437.8 0
437.8 656.8 0
656.8 985.2 0
985.2 1477.8 0
1477.8 2216.8 0
2216.8 3325.2 0
3325.2 4987.8 0
4987.8 7481.8 0
7481.8 11222.7 0
11222.7 16834.1 0
100 110
0.1 1.0 2
1.0 1.5 2
1.5 2.2 0
2.2 3.3 0
3.3 5.0 1
5.0 7.5 1
7.5 11.3 0
11.3 17.0 1
17.0 25.6 0
25.6 38.4 0
38.4 57.6 0
57.6 86.4 0
86.4 129.7 0
129.7 194.6 2
194.6 291.9 0
291.9 437.8 0
437.8 656.8 0
656.8 985.2 0
985.2 1477.8 0
1477.8 2216.8 0
2216.8 3325.2 0
3325.2 4987.8 0
4987.8 7481.8 0
7481.8 11222.7 0
11222.7 16834.1 0
110 120
0.1 1.0 1
1.0 1.5 1
1.5 2.2 0
2.2 3.3 0
3.3 5.0 0
5.0 7.5 0
7.5 11.3 0
11.3 17.0 0
17.0 25.6 0
25.6 38.4 0
38.4 57.6 0
57.6 86.4 0
86.4 129.7 0
129.7 194.6 0
194.6 291.9 0
291.9 437.8 0
437.8 656.8 0
656.8 985.2 0
985.2 1477.8 0
1477.8 2216.8 0
