0 10
0.1 1.0 128
1.0 1.5 128
1.5 2.2 36
2.2 3.3 27
3.3 5.0 14
5.0 7.5 13
7.5 11.3 18
11.3 17.0 19
17.0 25.6 1
25.6 38.4 18
38.4 57.6 19
57.6 86.4 18
86.4 129.7 18
129.7 194.6 18
194.6 291.9 7
291.9 437.8 10
437.8 656.8 5
656.8 985.2 3
985.2 1477.8 3
1477.8 2216.8 3
2216.8 3325.2 0
3325.2 4987.8 0
4987.8 7481.8 0
7481.8 11222.7 0
11222.7 16834.1 0
10 20
0.1 1.0 137
1.0 1.5 137
1.5 2.2 41
2.2 3.3 42
3.3 5.0 30
5.0 7.5 13
7.5 11.3 30
11.3 17.0 32
17.0 25.6 25
25.6 38.4 21
38.4 57.6 32
57.6 86.4 45
86.4 129.7 16
129.7 194.6 17
194.6 291.9 5
291.9 437.8 19
437.8 656.8 6
656.8 985.2 5
985.2 1477.8 4
1477.8 2216.8 4
2216.8 3325.2 1
3325.2 4987.8 0
4987.8 7481.8 0
7481.8 11222.7 0
11222.7 16834.1 0
20 30
0.1 1.0 75
1.0 1.5 75
1.5 2.2 18
2.2 3.3 18
3.3 5.0 5
5.0 7.5 3
7.5 11.3 8
11.3 17.0 15
17.0 25.6 8
25.6 38.4 11
38.4 57.6 7
57.6 86.4 14
86.4 129.7 6
129.7 194.6 8
194.6 291.9 7
291.9 437.8 1
437.8 656.8 6
656.8 985.2 1
985.2 1477.8 2
1477.8 2216.8 0
2216.8 3325.2 1
3325.2 4987.8 1
4987.8 7481.8 0
7481.8 11222.7 0
11222.7 16834.1 0
30 40
0.1 1.0 82
1.0 1.5 82
1.5 2.2 28
2.2 3.3 21
3.3 5.0 5
5.0 7.5 9
7.5 11.3 10
11.3 17.0 15
17.0 25.6 12
25.6 38.4 8
38.4 57.6 9
57.6 86.4 16
86.4 129.7 11
129.7 194.6 18
194.6 291.9 9
291.9 437.8 6
437.8 656.8 5
656.8 985.2 3
985.2 1477.8 3
1477.8 2216.8 2
2216.8 3325.2 0
3325.2 4987.8 0
4987.8 7481.8 0
7481.8 11222.7 0
11222.7 16834.1 0
40 50
0.1 1.0 98
1.0 1.5 98
1.5 2.2 52
2.2 3.3 17
3.3 5.0 12
5.0 7.5 8
7.5 11.3 7
11.3 17.0 12
17.0 25.6 5
25.6 38.4 10
38.4 57.6 13
57.6 86.4 9
86.4 129.7 15
129.7 194.6 26
194.6 291.9 6
291.9 437.8 9
437.8 656.8 4
656.8 985.2 3
985.2 1477.8 1
1477.8 2216.8 0
2216.8 3325.2 0
3325.2 4987.8 0
4987.8 7481.8 0
7481.8 11222.7 0
11222.7 16834.1 0
50 60
0.1 1.0 85
1.0 1.5 85
1.5 2.2 16
2.2 3.3 22
3.3 5.0 13
5.0 7.5 7
7.5 11.3 14
11.3 17.0 14
17.0 25.6 4
25.6 38.4 5
38.4 57.6 11
57.6 86.4 17
86.4 129.7 4
129.7 194.6 22
194.6 291.9 7
291.9 437.8 3
437.8 656.8 4
656.8 985.2 3
985.2 1477.8 2
1477.8 2216.8 5
2216.8 3325.2 0
3325.2 4987.8 0
4987.8 7481.8 0
7481.8 11222.7 0
11222.7 16834.1 0
60 70
0.1 1.0 104
1.0 1.5 104
1.5 2.2 37
2.2 3.3 26
3.3 5.0 17
5.0 7.5 13
7.5 11.3 25
11.3 17.0 29
17.0 25.6 15
25.6 38.4 22
38.4 57.6 22
57.6 86.4 21
86.4 129.7 15
129.7 194.6 15
194.6 291.9 11
291.9 437.8 17
437.8 656.8 4
656.8 985.2 15
985.2 1477.8 12
1477.8 2216.8 0
2216.8 3325.2 1
3325.2 4987.8 0
4987.8 7481.8 0
7481.8 11222.7 1
11222.7 16834.1 0
70 80
0.1 1.0 124
1.0 1.5 124
1.5 2.2 39
2.2 3.3 40
3.3 5.0 31
5.0 7.5 34
7.5 11.3 25
11.3 17.0 31
17.0 25.6 16
25.6 38.4 25
38.4 57.6 25
57.6 86.4 22
86.4 129.7 18
129.7 194.6 14
194.6 291.9 10
291.9 437.8 6
437.8 656.8 8
656.8 985.2 13
985.2 1477.8 7
1477.8 2216.8 2
2216.8 3325.2 1
3325.2 4987.8 1
4987.8 7481.8 0
7481.8 11222.7 0
11222.7 16834.1 0
80 90
0.1 1.0 124
1.0 1.5 124
1.5 2.2 22
2.2 3.3 58
3.3 5.0 9
5.0 7.5 9
7.5 11.3 12
11.3 17.0 28
17.0 25.6 22
25.6 38.4 30
38.4 57.6 18
57.6 86.4 21
86.4 129.7 20
129.7 194.6 11
194.6 291.9 9
291.9 437.8 4
437.8 656.8 11
656.8 985.2 3
985.2 1477.8 5
1477.8 2216.8 2
2216.8 3325.2 1
3325.2 4987.8 0
4987.8 7481.8 1
7481.8 11222.7 0
11222.7 16834.1 0
90 100
0.1 1.0 119
1.0 1.5 119
1.5 2.2 37
2.2 3.3 58
3.3 5.0 22
5.0 7.5 13
7.5 11.3 16
11.3 17.0 9
17.0 25.6 15
25.6 38.4 31
38.4 57.6 16
57.6 86.4 17
86.4 129.7 34
129.7 194.6 16
194.6 291.9 13
291.9 437.8 13
437.8 656.8 8
656.8 985.2 6
985.2 1477.8 9
1477.8 2216.8 3
2216.8 3325.2 4
3325.2 4987.8 1
4987.8 7481.8 0
7481.8 11222.7 1
11222.7 16834.1 0
100 110
0.1 1.0 170
1.0 1.5 170
1.5 2.2 42
2.2 3.3 45
3.3 5.0 32
5.0 7.5 34
7.5 11.3 54
11.3 17.0 53
17.0 25.6 26
25.6 38.4 39
38.4 57.6 44
57.6 86.4 34
86.4 129.7 55
129.7 194.6 47
194.6 291.9 32
291.9 437.8 23
437.8 656.8 13
656.8 985.2 17
985.2 1477.8 10
1477.8 2216.8 11
2216.8 3325.2 6
3325.2 4987.8 0
4987.8 7481.8 3
7481.8 11222.7 1
11222.7 16834.1 0
110 120
0.1 1.0 194
1.0 1.5 194
1.5 2.2 45
2.2 3.3 85
3.3 5.0 44
5.0 7.5 36
7.5 11.3 45
11.3 17.0 60
17.0 25.6 44
25.6 38.4 25
38.4 57.6 34
57.6 86.4 37
86.4 129.7 26
129.7 194.6 45
194.6 291.9 15
291.9 437.8 25
437.8 656.8 16
656.8 985.2 22
985.2 1477.8 2
1477.8 2216.8 8
2216.8 3325.2 3
3325.2 4987.8 0
4987.8 7481.8 2
7481.8 11222.7 3
11222.7 16834.1 1
120 130
0.1 1.0 219
1.0 1.5 219
1.5 2.2 47
2.2 3.3 72
3.3 5.0 19
5.0 7.5 21
