0 10
0.1 1.0 89
1.0 1.5 89
1.5 2.2 17
2.2 3.3 16
3.3 5.0 6
5.0 7.5 6
7.5 11.3 13
11.3 17.0 9
17.0 25.6 0
25.6 38.4 5
38.4 57.6 12
57.6 86.4 9
86.4 129.7 10
129.7 194.6 12
194.6 291.9 5
291.9 437.8 4
437.8 656.8 3
656.8 985.2 3
985.2 1477.8 2
1477.8 2216.8 1
2216.8 3325.2 0
3325.2 4987.8 0
4987.8 7481.8 0
7481.8 11222.7 0
11222.7 16834.1 0
10 20
0.1 1.0 77
1.0 1.5 77
1.5 2.2 23
2.2 3.3 22
3.3 5.0 8
5.0 7.5 5
7.5 11.3 13
11.3 17.0 12
17.0 25.6 12
25.6 38.4 5
38.4 57.6 10
57.6 86.4 30
86.4 129.7 10
129.7 194.6 12
194.6 291.9 4
291.9 437.8 9
437.8 656.8 1
656.8 985.2 5
985.2 1477.8 3
1477.8 2216.8 3
2216.8 3325.2 1
3325.2 4987.8 0
4987.8 7481.8 0
7481.8 11222.7 0
11222.7 16834.1 0
20 30
0.1 1.0 50
1.0 1.5 50
1.5 2.2 6
2.2 3.3 10
3.3 5.0 3
5.0 7.5 2
7.5 11.3 2
11.3 17.0 6
17.0 25.6 3
25.6 38.4 1
38.4 57.6 5
57.6 86.4 6
86.4 129.7 2
129.7 194.6 1
194.6 291.9 4
291.9 437.8 0
437.8 656.8 2
656.8 985.2 0
985.2 1477.8 1
1477.8 2216.8 0
2216.8 3325.2 0
3325.2 4987.8 0
4987.8 7481.8 0
7481.8 11222.7 0
11222.7 16834.1 0
30 40
0.1 1.0 51
1.0 1.5 51
1.5 2.2 9
2.2 3.3 5
3.3 5.0 3
5.0 7.5 4
7.5 11.3 3
11.3 17.0 11
17.0 25.6 5
25.6 38.4 3
38.4 57.6 3
57.6 86.4 12
86.4 129.7 8
129.7 194.6 15
194.6 291.9 4
291.9 437.8 3
437.8 656.8 2
656.8 985.2 2
985.2 1477.8 0
1477.8 2216.8 1
2216.8 3325.2 0
3325.2 4987.8 0
4987.8 7481.8 0
7481.8 11222.7 0
11222.7 16834.1 0
40 50
0.1 1.0 49
1.0 1.5 49
1.5 2.2 30
2.2 3.3 5
3.3 5.0 5
5.0 7.5 3
7.5 11.3 5
11.3 17.0 6
17.0 25.6 4
25.6 38.4 5
38.4 57.6 9
57.6 86.4 4
86.4 129.7 12
129.7 194.6 23
194.6 291.9 3
291.9 437.8 7
437.8 656.8 3
656.8 985.2 1
985.2 1477.8 0
1477.8 2216.8 0
2216.8 3325.2 0
3325.2 4987.8 0
4987.8 7481.8 0
7481.8 11222.7 0
11222.7 16834.1 0
50 60
0.1 1.0 60
1.0 1.5 60
1.5 2.2 10
2.2 3.3 16
3.3 5.0 9
5.0 7.5 6
7.5 11.3 8
11.3 17.0 9
17.0 25.6 3
25.6 38.4 2
38.4 57.6 3
57.6 86.4 7
86.4 129.7 0
129.7 194.6 18
194.6 291.9 4
291.9 437.8 1
437.8 656.8 2
656.8 985.2 3
985.2 1477.8 1
1477.8 2216.8 1
2216.8 3325.2 0
3325.2 4987.8 0
4987.8 7481.8 0
7481.8 11222.7 0
11222.7 16834.1 0
60 70
0.1 1.0 63
1.0 1.5 63
1.5 2.2 23
2.2 3.3 19
3.3 5.0 12
5.0 7.5 4
7.5 11.3 13
11.3 17.0 15
17.0 25.6 6
25.6 38.4 11
38.4 57.6 12
57.6 86.4 9
86.4 129.7 9
129.7 194.6 10
194.6 291.9 6
291.9 437.8 11
437.8 656.8 3
656.8 985.2 10
985.2 1477.8 8
1477.8 2216.8 0
2216.8 3325.2 0
3325.2 4987.8 0
4987.8 7481.8 0
7481.8 11222.7 0
11222.7 16834.1 0
70 80
0.1 1.0 59
1.0 1.5 59
1.5 2.2 15
2.2 3.3 18
3.3 5.0 9
5.0 7.5 14
7.5 11.3 9
11.3 17.0 16
17.0 25.6 5
25.6 38.4 14
38.4 57.6 15
57.6 86.4 9
86.4 129.7 13
129.7 194.6 11
194.6 291.9 3
291.9 437.8 4
437.8 656.8 5
656.8 985.2 10
985.2 1477.8 3
1477.8 2216.8 1
2216.8 3325.2 0
3325.2 4987.8 0
4987.8 7481.8 0
7481.8 11222.7 0
11222.7 16834.1 0
80 90
0.1 1.0 75
1.0 1.5 75
1.5 2.2 15
2.2 3.3 38
3.3 5.0 3
5.0 7.5 6
7.5 11.3 6
11.3 17.0 13
17.0 25.6 10
25.6 38.4 16
38.4 57.6 10
57.6 86.4 14
86.4 129.7 14
129.7 194.6 5
194.6 291.9 6
291.9 437.8 2
437.8 656.8 3
656.8 985.2 3
985.2 1477.8 0
1477.8 2216.8 2
2216.8 3325.2 0
3325.2 4987.8 0
4987.8 7481.8 1
7481.8 11222.7 0
11222.7 16834.1 0
90 100
0.1 1.0 75
1.0 1.5 75
1.5 2.2 14
2.2 3.3 45
3.3 5.0 14
5.0 7.5 9
