0 10
0.0 1.000 3
1.500 2.250 0
2.250 3.375 0
3.375 5.062 0
5.062 7.593 0
7.593 11.390 0
11.390 17.085 0
17.085 25.628 0
25.628 38.443 0
38.443 57.665 0
57.665 86.497 1
86.497 129.746 0
129.746 194.619 0
194.619 291.929 0
291.929 437.893 0
437.893 656.840 0
656.840 985.261 0
985.261 1477.891 0
1477.891 2216.837 0
2216.837 3325.256 0
3325.256 4987.885 0
4987.885 7481.827 0
7481.827 11222.741 0
11222.741 16834.112 0
10 20
0.0 1.000 2
1.500 2.250 0
2.250 3.375 1
3.375 5.062 1
5.062 7.593 2
7.593 11.390 1
11.390 17.085 0
17.085 25.628 0
25.628 38.443 0
38.443 57.665 0
57.665 86.497 0
86.497 129.746 0
129.746 194.619 0
194.619 291.929 0
291.929 437.893 0
437.893 656.840 0
656.840 985.261 0
985.261 1477.891 0
1477.891 2216.837 0
2216.837 3325.256 0
3325.256 4987.885 0
4987.885 7481.827 0
7481.827 11222.741 0
11222.741 16834.112 0
20 30
0.0 1.000 2
1.500 2.250 0
2.250 3.375 1
3.375 5.062 0
5.062 7.593 0
7.593 11.390 0
11.390 17.085 1
17.085 25.628 0
25.628 38.443 0
38.443 57.665 1
57.665 86.497 0
86.497 129.746 0
129.746 194.619 0
194.619 291.929 0
291.929 437.893 0
437.893 656.840 0
656.840 985.261 0
985.261 1477.891 0
1477.891 2216.837 0
2216.837 3325.256 0
3325.256 4987.885 0
4987.885 7481.827 0
7481.827 11222.741 0
11222.741 16834.112 0
30 40
0.0 1.000 3
1.500 2.250 0
2.250 3.375 0
3.375 5.062 0
5.062 7.593 0
7.593 11.390 0
11.390 17.085 0
17.085 25.628 0
25.628 38.443 0
38.443 57.665 0
57.665 86.497 0
86.497 129.746 0
129.746 194.619 0
194.619 291.929 0
291.929 437.893 0
437.893 656.840 0
656.840 985.261 0
985.261 1477.891 0
1477.891 2216.837 0
2216.837 3325.256 0
3325.256 4987.885 0
4987.885 7481.827 0
7481.827 11222.741 0
11222.741 16834.112 0
40 50
0.0 1.000 8
1.500 2.250 1
2.250 3.375 1
3.375 5.062 0
5.062 7.593 0
7.593 11.390 0
11.390 17.085 0
17.085 25.628 0
25.628 38.443 0
38.443 57.665 0
57.665 86.497 0
86.497 129.746 0
129.746 194.619 0
194.619 291.929 0
291.929 437.893 0
437.893 656.840 0
656.840 985.261 0
985.261 1477.891 0
1477.891 2216.837 0
2216.837 3325.256 0
3325.256 4987.885 0
4987.885 7481.827 0
7481.827 11222.741 0
11222.741 16834.112 0
50 60
0.0 1.000 3
1.500 2.250 0
2.250 3.375 0
3.375 5.062 0
5.062 7.593 0
7.593 11.390 0
11.390 17.085 0
17.085 25.628 0
25.628 38.443 0
38.443 57.665 0
57.665 86.497 0
86.497 129.746 0
129.746 194.619 0
194.619 291.929 0
291.929 437.893 0
437.893 656.840 0
656.840 985.261 0
985.261 1477.891 0
1477.891 2216.837 0
2216.837 3325.256 0
3325.256 4987.885 0
4987.885 7481.827 0
7481.827 11222.741 0
11222.741 16834.112 0
60 70
0.0 1.000 10
1.500 2.250 0
2.250 3.375 0
3.375 5.062 1
5.062 7.593 1
7.593 11.390 0
11.390 17.085 0
17.085 25.628 0
25.628 38.443 0
38.443 57.665 0
57.665 86.497 0
86.497 129.746 0
129.746 194.619 1
194.619 291.929 0
291.929 437.893 0
437.893 656.840 0
656.840 985.261 0
985.261 1477.891 0
1477.891 2216.837 0
2216.837 3325.256 0
3325.256 4987.885 0
4987.885 7481.827 0
7481.827 11222.741 0
11222.741 16834.112 0
70 80
0.0 1.000 2
1.500 2.250 0
2.250 3.375 0
3.375 5.062 1
5.062 7.593 0
7.593 11.390 0
11.390 17.085 0
17.085 25.628 0
25.628 38.443 0
38.443 57.665 0
57.665 86.497 0
86.497 129.746 0
129.746 194.619 0
194.619 291.929 0
291.929 437.893 0
437.893 656.840 0
656.840 985.261 0
985.261 1477.891 0
1477.891 2216.837 0
2216.837 3325.256 0
3325.256 4987.885 0
4987.885 7481.827 0
7481.827 11222.741 0
11222.741 16834.112 0
80 90
0.0 1.000 1
1.500 2.250 1
2.250 3.375 0
3.375 5.062 0
5.062 7.593 0
7.593 11.390 0
11.390 17.085 1
17.085 25.628 0
25.628 38.443 0
38.443 57.665 0
57.665 86.497 0
86.497 129.746 0
129.746 194.619 0
194.619 291.929 0
291.929 437.893 0
437.893 656.840 0
656.840 985.261 0
985.261 1477.891 0
1477.891 2216.837 0
2216.837 3325.256 0
3325.256 4987.885 0
4987.885 7481.827 0
7481.827 11222.741 0
11222.741 16834.112 0
90 100
0.0 1.000 8
1.500 2.250 0
2.250 3.375 0
3.375 5.062 1
5.062 7.593 0
7.593 11.390 0
11.390 17.085 0
17.085 25.628 0
25.628 38.443 0
38.443 57.665 0
57.665 86.497 0
86.497 129.746 0
129.746 194.619 0
194.619 291.929 0
291.929 437.893 0
437.893 656.840 0
656.840 985.261 0
985.261 1477.891 0
1477.891 2216.837 0
2216.837 3325.256 0
3325.256 4987.885 0
4987.885 7481.827 0
7481.827 11222.741 0
11222.741 16834.112 0
100 110
0.0 1.000 4
1.500 2.250 0
2.250 3.375 0
3.375 5.062 0
5.062 7.593 0
7.593 11.390 0
11.390 17.085 0
17.085 25.628 0
25.628 38.443 0
38.443 57.665 0
57.665 86.497 0
86.497 129.746 0
129.746 194.619 0
194.619 291.929 0
291.929 437.893 0
437.893 656.840 0
656.840 985.261 0
985.261 1477.891 0
1477.891 2216.837 0
2216.837 3325.256 0
3325.256 4987.885 0
4987.885 7481.827 0
7481.827 11222.741 0
11222.741 16834.112 0
110 120
0.0 1.000 20
1.500 2.250 0
2.250 3.375 0
3.375 5.062 0
5.062 7.593 0
7.593 11.390 0
11.390 17.085 0
17.085 25.628 0
25.628 38.443 0
38.443 57.665 0
57.665 86.497 0
86.497 129.746 0
129.746 194.619 0
194.619 291.929 1
291.929 437.893 0
437.893 656.840 0
656.840 985.261 0
985.261 1477.891 0
1477.891 2216.837 0
2216.837 3325.256 0
3325.256 4987.885 0
4987.885 7481.827 0
7481.827 11222.741 0
11222.741 16834.112 0
120 130
0.0 1.000 23
1.500 2.250 1
2.250 3.375 0
3.375 5.062 1
5.062 7.593 0
7.593 11.390 2
11.390 17.085 0
17.085 25.628 0
25.628 38.443 1
38.443 57.665 0
57.665 86.497 0
86.497 129.746 0
129.746 194.619 0
194.619 291.929 0
291.929 437.893 0
437.893 656.840 1
656.840 985.261 0
985.261 1477.891 0
1477.891 2216.837 0
2216.837 3325.256 0
3325.256 4987.885 0
4987.885 7481.827 0
7481.827 11222.741 0
11222.741 16834.112 0
130 140
0.0 1.000 7
1.500 2.250 0
2.250 3.375 0
3.375 5.062 0
5.062 7.593 0
7.593 11.390 1
11.390 17.085 1
17.085 25.628 0
25.628 38.443 0
38.443 57.665 0
57.665 86.497 0
86.497 129.746 1
129.746 194.619 0
194.619 291.929 0
291.929 437.893 0
437.893 656.840 0
656.840 985.261 0
985.261 1477.891 0
1477.891 2216.837 0
2216.837 3325.256 0
3325.256 4987.885 0
4987.885 7481.827 0
7481.827 11222.741 0
11222.741 16834.112 0
140 150
0.0 1.000 2
1.500 2.250 0
2.250 3.375 1
3.375 5.062 0
5.062 7.593 0
7.593 11.390 0
11.390 17.085 0
17.085 25.628 0
25.628 38.443 0
38.443 57.665 0
57.665 86.497 0
86.497 129.746 0
129.746 194.619 0
194.619 291.929 0
291.929 437.893 0
437.893 656.840 0
656.840 985.261 0
985.261 1477.891 0
1477.891 2216.837 0
2216.837 3325.256 0
3325.256 4987.885 0
4987.885 7481.827 0
7481.827 11222.741 0
11222.741 16834.112 0
150 160
0.0 1.000 2
1.500 2.250 0
2.250 3.375 1
3.375 5.062 0
5.062 7.593 0
7.593 11.390 0
11.390 17.085 0
17.085 25.628 0
25.628 38.443 0
38.443 57.665 0
57.665 86.497 0
86.497 129.746 0
129.746 194.619 0
194.619 291.929 0
291.929 437.893 0
437.893 656.840 0
656.840 985.261 0
985.261 1477.891 0
1477.891 2216.837 0
2216.837 3325.256 0
3325.256 4987.885 0
4987.885 7481.827 0
7481.827 11222.741 0
11222.741 16834.112 0
160 170
0.0 1.000 5
1.500 2.250 0
2.250 3.375 0
3.375 5.062 0
5.062 7.593 0
7.593 11.390 0
11.390 17.085 0
17.085 25.628 0
25.628 38.443 0
38.443 57.665 0
57.665 86.497 0
86.497 129.746 0
129.746 194.619 0
194.619 291.929 0
291.929 437.893 0
437.893 656.840 0
656.840 985.261 0
985.261 1477.891 0
1477.891 2216.837 0
2216.837 3325.256 0
3325.256 4987.885 0
4987.885 7481.827 0
7481.827 11222.741 0
11222.741 16834.112 0
170 180
0.0 1.000 0
1.500 2.250 1
2.250 3.375 0
3.375 5.062 0
5.062 7.593 0
7.593 11.390 0
11.390 17.085 0
17.085 25.628 0
25.628 38.443 0
38.443 57.665 0
57.665 86.497 0
86.497 129.746 0
129.746 194.619 0
194.619 291.929 0
291.929 437.893 0
437.893 656.840 0
656.840 985.261 0
985.261 1477.891 0
1477.891 2216.837 0
2216.837 3325.256 0
3325.256 4987.885 0
4987.885 7481.827 0
7481.827 11222.741 0
11222.741 16834.112 0
180 190
0.0 1.000 5
1.500 2.250 0
2.250 3.375 0
3.375 5.062 0
5.062 7.593 0
7.593 11.390 0
11.390 17.085 1
17.085 25.628 0
25.628 38.443 0
38.443 57.665 0
57.665 86.497 0
86.497 129.746 0
129.746 194.619 0
194.619 291.929 0
291.929 437.893 0
437.893 656.840 0
656.840 985.261 0
985.261 1477.891 0
1477.891 2216.837 0
2216.837 3325.256 0
3325.256 4987.885 0
4987.885 7481.827 0
7481.827 11222.741 0
11222.741 16834.112 0
190 200
0.0 1.000 6
1.500 2.250 0
2.250 3.375 1
3.375 5.062 0
5.062 7.593 0
7.593 11.390 0
11.390 17.085 0
17.085 25.628 0
25.628 38.443 0
38.443 57.665 0
57.665 86.497 0
86.497 129.746 0
129.746 194.619 0
194.619 291.929 1
291.929 437.893 0
437.893 656.840 0
656.840 985.261 0
985.261 1477.891 0
1477.891 2216.837 0
2216.837 3325.256 0
3325.256 4987.885 0
4987.885 7481.827 0
7481.827 11222.741 0
11222.741 16834.112 0
200 210
0.0 1.000 9
1.500 2.250 0
2.250 3.375 0
3.375 5.062 0
5.062 7.593 0
7.593 11.390 0
11.390 17.085 0
17.085 25.628 1
25.628 38.443 0
38.443 57.665 0
57.665 86.497 1
86.497 129.746 1
129.746 194.619 1
194.619 291.929 0
291.929 437.893 0
437.893 656.840 0
656.840 985.261 0
985.261 1477.891 0
1477.891 2216.837 0
2216.837 3325.256 0
3325.256 4987.885 0
4987.885 7481.827 0
7481.827 11222.741 0
11222.741 16834.112 0
210 220
0.0 1.000 2
1.500 2.250 0
2.250 3.375 1
3.375 5.062 0
5.062 7.593 0
7.593 11.390 0
11.390 17.085 0
17.085 25.628 0
25.628 38.443 0
38.443 57.665 1
57.665 86.497 0
86.497 129.746 0
129.746 194.619 0
194.619 291.929 0
291.929 437.893 0
437.893 656.840 0
656.840 985.261 0
985.261 1477.891 0
1477.891 2216.837 0
2216.837 3325.256 0
3325.256 4987.885 0
4987.885 7481.827 0
7481.827 11222.741 0
11222.741 16834.112 0
220 230
0.0 1.000 0
1.500 2.250 0
2.250 3.375 0
3.375 5.062 0
5.062 7.593 0
7.593 11.390 0
11.390 17.085 0
17.085 25.628 1
25.628 38.443 0
38.443 57.665 0
57.665 86.497 0
86.497 129.746 0
129.746 194.619 0
194.619 291.929 0
291.929 437.893 1
437.893 656.840 0
656.840 985.261 0
985.261 1477.891 0
1477.891 2216.837 0
2216.837 3325.256 0
3325.256 4987.885 0
4987.885 7481.827 0
7481.827 11222.741 0
11222.741 16834.112 0
230 240
0.0 1.000 0
1.500 2.250 0
2.250 3.375 0
3.375 5.062 1
5.062 7.593 0
7.593 11.390 0
11.390 17.085 0
17.085 25.628 0
25.628 38.443 0
38.443 57.665 0
57.665 86.497 0
86.497 129.746 0
129.746 194.619 0
194.619 291.929 0
291.929 437.893 0
437.893 656.840 0
656.840 985.261 0
985.261 1477.891 0
1477.891 2216.837 0
2216.837 3325.256 0
3325.256 4987.885 0
4987.885 7481.827 0
7481.827 11222.741 0
11222.741 16834.112 0
240 250
0.0 1.000 0
1.500 2.250 0
2.250 3.375 1
3.375 5.062 1
5.062 7.593 0
7.593 11.390 1
11.390 17.085 0
17.085 25.628 1
25.628 38.443 0
38.443 57.665 0
57.665 86.497 0
86.497 129.746 0
129.746 194.619 0
194.619 291.929 0
291.929 437.893 0
437.893 656.840 0
656.840 985.261 0
985.261 1477.891 0
1477.891 2216.837 0
2216.837 3325.256 0
3325.256 4987.885 0
4987.885 7481.827 0
7481.827 11222.741 0
11222.741 16834.112 0
250 260
0.0 1.000 3
1.500 2.250 1
2.250 3.375 0
3.375 5.062 0
5.062 7.593 0
7.593 11.390 0
11.390 17.085 0
17.085 25.628 0
25.628 38.443 0
38.443 57.665 0
57.665 86.497 0
86.497 129.746 0
129.746 194.619 0
194.619 291.929 0
291.929 437.893 0
437.893 656.840 0
656.840 985.261 0
985.261 1477.891 0
1477.891 2216.837 0
2216.837 3325.256 0
3325.256 4987.885 0
4987.885 7481.827 0
7481.827 11222.741 0
11222.741 16834.112 0
260 270
0.0 1.000 2
1.500 2.250 0
2.250 3.375 0
3.375 5.062 0
5.062 7.593 0
7.593 11.390 0
11.390 17.085 0
17.085 25.628 0
25.628 38.443 0
38.443 57.665 0
57.665 86.497 0
86.497 129.746 0
129.746 194.619 0
194.619 291.929 0
291.929 437.893 0
437.893 656.840 0
656.840 985.261 0
985.261 1477.891 0
1477.891 2216.837 0
2216.837 3325.256 0
3325.256 4987.885 0
4987.885 7481.827 0
7481.827 11222.741 0
11222.741 16834.112 0
270 280
0.0 1.000 0
1.500 2.250 0
2.250 3.375 0
3.375 5.062 0
5.062 7.593 0
7.593 11.390 0
11.390 17.085 0
17.085 25.628 0
25.628 38.443 0
38.443 57.665 0
57.665 86.497 0
86.497 129.746 0
129.746 194.619 0
194.619 291.929 0
291.929 437.893 0
437.893 656.840 0
656.840 985.261 1
985.261 1477.891 0
1477.891 2216.837 0
2216.837 3325.256 0
3325.256 4987.885 0
4987.885 7481.827 0
7481.827 11222.741 0
11222.741 16834.112 0
280 290
0.0 1.000 1
1.500 2.250 0
2.250 3.375 0
3.375 5.062 0
5.062 7.593 0
7.593 11.390 0
11.390 17.085 0
17.085 25.628 0
25.628 38.443 0
38.443 57.665 0
57.665 86.497 0
86.497 129.746 0
129.746 194.619 0
194.619 291.929 0
291.929 437.893 0
437.893 656.840 0
656.840 985.261 0
985.261 1477.891 0
1477.891 2216.837 0
2216.837 3325.256 0
3325.256 4987.885 0
4987.885 7481.827 0
7481.827 11222.741 0
11222.741 16834.112 0
290 300
0.0 1.000 0
1.500 2.250 0
2.250 3.375 0
3.375 5.062 0
5.062 7.593 0
7.593 11.390 0
11.390 17.085 0
17.085 25.628 0
25.628 38.443 0
38.443 57.665 0
57.665 86.497 0
86.497 129.746 0
129.746 194.619 0
194.619 291.929 0
291.929 437.893 0
437.893 656.840 0
656.840 985.261 0
985.261 1477.891 0
1477.891 2216.837 0
2216.837 3325.256 0
3325.256 4987.885 0
4987.885 7481.827 0
7481.827 11222.741 0
11222.741 16834.112 0
300 310
0.0 1.000 0
1.500 2.250 0
2.250 3.375 0
3.375 5.062 0
5.062 7.593 0
7.593 11.390 0
11.390 17.085 0
