0.993, 100000@20, 15, 1, vtx:, 10, 90, 
sigma: , 9, 
['950:', 0.005553], 
------------------------------, 
****************************************, 
-73, 5e-06, of, 1, records,   speed:, 0.0, 
-51, -0.00157, of, 1, records,   speed:, -3.1e-05, 
-41, -0.005397, of, 1, records,   speed:, -0.000132, 
-32, -0.001526, of, 2, records,   speed:, -4.8e-05, 
-31, -0.002007, of, 2, records,   speed:, -6.5e-05, 
-30, -5e-06, of, 1, records,   speed:, -0.0, 
-25, 0.001378, of, 1, records,   speed:, 5.5e-05, 
-24, -0.000111, of, 1, records,   speed:, -5e-06, 
-23, -0.00206, of, 1, records,   speed:, -9e-05, 
-22, -0.000435, of, 1, records,   speed:, -2e-05, 
-21, -0.002026, of, 2, records,   speed:, -9.6e-05, 
-20, -0.003783, of, 5, records,   speed:, -0.000189, 
-19, -0.003254, of, 6, records,   speed:, -0.000171, 
-18, -0.003735, of, 4, records,   speed:, -0.000207, 
-17, -0.002527, of, 9, records,   speed:, -0.000149, 
-16, -0.002651, of, 12, records,   speed:, -0.000166, 
-15, -0.004797, of, 6, records,   speed:, -0.00032, 
-14, -0.00293, of, 7, records,   speed:, -0.000209, 
-13, -0.004116, of, 18, records,   speed:, -0.000317, 
-12, -0.008198, of, 37, records,   speed:, -0.000683, 
-11, -0.013493, of, 61, records,   speed:, -0.001227, 
-10, -0.008652, of, 44, records,   speed:, -0.000865, 
-9, -0.007983, of, 94, records,   speed:, -0.000887, 
-8, -0.007836, of, 118, records,   speed:, -0.00098, 
-7, -0.007551, of, 132, records,   speed:, -0.001079, 
-6, -0.005219, of, 139, records,   speed:, -0.00087, 
-5, -0.003964, of, 227, records,   speed:, -0.000793, 
-4, -0.002745, of, 246, records,   speed:, -0.000686, 
-3, -0.003435, of, 288, records,   speed:, -0.001145, 
-2, -0.001871, of, 368, records,   speed:, -0.000935, 
-1, -0.001255, of, 357, records,   speed:, -0.001255, 
1, 9e-05, of, 388, records,   speed:, 9e-05, 
2, 0.001207, of, 377, records,   speed:, 0.000603, 
3, 0.003786, of, 319, records,   speed:, 0.001262, 
4, 0.005207, of, 268, records,   speed:, 0.001302, 
5, 0.005643, of, 230, records,   speed:, 0.001129, 
6, 0.008161, of, 216, records,   speed:, 0.00136, 
7, 0.008271, of, 139, records,   speed:, 0.001182, 
8, 0.006301, of, 94, records,   speed:, 0.000788, 
9, 0.004986, of, 120, records,   speed:, 0.000554, 
10, 0.009559, of, 69, records,   speed:, 0.000956, 
11, 0.007281, of, 41, records,   speed:, 0.000662, 
12, 0.008047, of, 33, records,   speed:, 0.000671, 
13, 0.006505, of, 20, records,   speed:, 0.0005, 
14, 0.010432, of, 14, records,   speed:, 0.000745, 
15, 0.010351, of, 4, records,   speed:, 0.00069, 
16, 0.001794, of, 3, records,   speed:, 0.000112, 
17, 0.000808, of, 2, records,   speed:, 4.8e-05, 
18, 0.005195, of, 1, records,   speed:, 0.000289, 
19, 0.004357, of, 4, records,   speed:, 0.000229, 
20, 0.003866, of, 1, records,   speed:, 0.000193, 
21, 0.004452, of, 2, records,   speed:, 0.000212, 
23, 0.009453, of, 1, records,   speed:, 0.000411, 
25, 0.00268, of, 1, records,   speed:, 0.000107, 
