0.98, 1000@20, 15, 2, vtx:, 10, 90, 
sigma: , 9, 
[], 
------------------------------, 
****************************************, 
-14, -0.003831, of, 1, records,   speed:, -0.000274, 
-9, -0.002308, of, 1, records,   speed:, -0.000256, 
-7, -0.000464, of, 1, records,   speed:, -6.6e-05, 
-6, -0.001056, of, 1, records,   speed:, -0.000176, 
-4, -0.001404, of, 3, records,   speed:, -0.000351, 
-3, -0.00168, of, 6, records,   speed:, -0.00056, 
-2, -0.000666, of, 5, records,   speed:, -0.000333, 
-1, -0.001058, of, 12, records,   speed:, -0.001058, 
1, -0.001438, of, 6, records,   speed:, -0.001438, 
2, -0.000499, of, 5, records,   speed:, -0.00025, 
3, -0.001649, of, 3, records,   speed:, -0.00055, 
4, -0.002118, of, 1, records,   speed:, -0.000529, 
5, -0.001908, of, 2, records,   speed:, -0.000382, 
6, 0.001969, of, 2, records,   speed:, 0.000328, 
8, -0.001847, of, 1, records,   speed:, -0.000231, 
9, 0.000165, of, 2, records,   speed:, 1.8e-05, 
0.98, 65000@20, 15, 2, vtx:, 10, 90, 
sigma: , 9, 
[], 
------------------------------, 
****************************************, 
-100, 0.002443, of, 1, records,   speed:, 2.4e-05, 
-97, 0.00356, of, 1, records,   speed:, 3.7e-05, 
-76, 0.00039, of, 1, records,   speed:, 5e-06, 
-75, 0.000662, of, 1, records,   speed:, 9e-06, 
-69, 0.003528, of, 1, records,   speed:, 5.1e-05, 
-63, -0.001145, of, 1, records,   speed:, -1.8e-05, 
-58, -1e-06, of, 1, records,   speed:, -0.0, 
-52, -0.000182, of, 1, records,   speed:, -4e-06, 
-50, 0.001844, of, 2, records,   speed:, 3.7e-05, 
-49, -0.0, of, 1, records,   speed:, -0.0, 
-45, -0.000297, of, 1, records,   speed:, -7e-06, 
-43, 0.001448, of, 1, records,   speed:, 3.4e-05, 
-42, -2.4e-05, of, 1, records,   speed:, -1e-06, 
-40, -4e-06, of, 1, records,   speed:, -0.0, 
-39, -0.000504, of, 3, records,   speed:, -1.3e-05, 
-38, -0.001542, of, 3, records,   speed:, -4.1e-05, 
-37, -0.003511, of, 2, records,   speed:, -9.5e-05, 
-36, -0.006747, of, 1, records,   speed:, -0.000187, 
-35, -0.002874, of, 3, records,   speed:, -8.2e-05, 
-34, 0.002132, of, 1, records,   speed:, 6.3e-05, 
-33, -0.000822, of, 1, records,   speed:, -2.5e-05, 
-32, -0.001386, of, 1, records,   speed:, -4.3e-05, 
-31, -0.002439, of, 1, records,   speed:, -7.9e-05, 
-30, -0.000526, of, 2, records,   speed:, -1.8e-05, 
