0.98, 900@DX!teta: 0.0, 15, 3, vtx:, 10, 90, 
sigma: , 9, 
[], 
------------------------------, 
****************************************, 
-20, 0.000157, of, 4, records,   speed:, 8e-06, 
-19, -0.002622, of, 14, records,   speed:, -0.000138, 
-18, -0.001208, of, 17, records,   speed:, -6.7e-05, 
-17, -0.000175, of, 11, records,   speed:, -1e-05, 
-16, -0.000918, of, 14, records,   speed:, -5.7e-05, 
-15, -0.001157, of, 15, records,   speed:, -7.7e-05, 
-14, -0.000413, of, 21, records,   speed:, -2.9e-05, 
-13, -0.000594, of, 34, records,   speed:, -4.6e-05, 
-12, -0.002012, of, 30, records,   speed:, -0.000168, 
-11, -0.001587, of, 39, records,   speed:, -0.000144, 
-10, -0.000821, of, 56, records,   speed:, -8.2e-05, 
-9, -0.001629, of, 63, records,   speed:, -0.000181, 
-8, -0.00176, of, 113, records,   speed:, -0.00022, 
-7, -0.001223, of, 138, records,   speed:, -0.000175, 
-6, -0.001286, of, 191, records,   speed:, -0.000214, 
-5, -0.001341, of, 234, records,   speed:, -0.000268, 
-4, -0.001146, of, 299, records,   speed:, -0.000287, 
-3, -0.001053, of, 358, records,   speed:, -0.000351, 
-2, -0.00083, of, 438, records,   speed:, -0.000415, 
-1, -0.000365, of, 809, records,   speed:, -0.000365, 
1, 0.000297, of, 791, records,   speed:, 0.000297, 
2, 0.000698, of, 431, records,   speed:, 0.000349, 
3, 0.001131, of, 374, records,   speed:, 0.000377, 
4, 0.001224, of, 303, records,   speed:, 0.000306, 
5, 0.001478, of, 205, records,   speed:, 0.000296, 
6, 0.001532, of, 162, records,   speed:, 0.000255, 
7, 0.0016, of, 125, records,   speed:, 0.000229, 
8, 0.001113, of, 84, records,   speed:, 0.000139, 
9, 0.00231, of, 62, records,   speed:, 0.000257, 
10, 0.001635, of, 54, records,   speed:, 0.000163, 
11, 0.001742, of, 46, records,   speed:, 0.000158, 
12, 0.002901, of, 33, records,   speed:, 0.000242, 
13, 0.001778, of, 26, records,   speed:, 0.000137, 
14, 0.002811, of, 13, records,   speed:, 0.000201, 
15, 0.001618, of, 26, records,   speed:, 0.000108, 
16, 0.000793, of, 17, records,   speed:, 5e-05, 
17, -0.000458, of, 8, records,   speed:, -2.7e-05, 
18, 0.001376, of, 11, records,   speed:, 7.6e-05, 
19, 0.000584, of, 6, records,   speed:, 3.1e-05, 
20, 0.002359, of, 7, records,   speed:, 0.000118, 
-20, 0.002419, of, 4, records,   speed:, 0.000121, 
-19, 0.003361, of, 14, records,   speed:, 0.000177, 
-18, 0.001975, of, 17, records,   speed:, 0.00011, 
